Case #,Crime,Occurred (Averaged),Location,lon,lat
25-00451,261(A)(2): PC; Rape By Force/Fear/Etc; Felony SUPP: Supplemental Reports *DV: Domestic Violence *Stalking *261(A): Rape *261(A): Rape *261(A): Rape *261(A): Rape *261(A): Rape *261(A): Rape *261(A): Rape *261(A): Rape,2024-05-03 0:00,2400 block of Channing Wy,-122.272863,37.8708393
25-00246,261(A)(2): PC; Rape By Force/Fear/Etc; Felony *(multiple) *Dating Violence (multiple),2024-05-29 10:30,1900 Block of Oxford St,-122.272863,37.8708393
25-02467,Lost Prop.: Lost Property,2024-06-20 5:36,2199 Addison St,-122.2665321343369,37.87196635
25-00500,Lost Prop.: Lost Property,2024-08-21 16:44,2121 Berkeley Wy,-122.2683576,37.8737831
25-00385,261(A)(2): PC; Rape By Force/Fear/Etc; Felony *x2,2024-08-26 12:00,2400 Block of Durant Av,-122.272863,37.8708393
25-00650,287(C)(2)(A): PC; Oral Cop:by Use Of Force/Injury; Felony 273.5(A): PC; Inflict Corporal Injury On Spouse/Cohabitant/Datng Relatnshp; Felo,2024-08-31 12:00,2000 block of Haste Ave,-122.272863,37.8708393
25-00875,503: PC; Embezzlement $950+; Felony,2024-11-13 0:00,Recreational Sports Facility RSF,-122.262324,37.868621
25-00103,INFO: Information Only Report,2024-11-13 12:00,Campus Unspecified Campus Location Campus,-122.288608,37.868541
25-02446,Lost Prop.: Lost Property,2024-11-14 12:01,Hearst Memorial Gymnasium Hearst Gym,-122.257164,37.874153
25-00192,INFO: Information Only Report,2024-11-18 7:14,Campus Unspecified,-122.288608,37.868541
25-00266,INFO: Information Only Report,2024-11-18 12:00,2434 Warring St,-122.250915492136,37.86667055
25-00151,484(A): PC; Theft Of Personal Property; Misdemeanor,2024-11-23 14:00,Memorial Stadium Memorial Stadium,-122.25073605072416,37.8709949
25-01227,484(A): PC; Theft Of Personal Property; Misdemeanor,2024-12-01 12:00,Cesar Chavez Center,-122.26015656396348,37.8697482
25-00416,530.5(A): PC; Get Credit/Etc Other's Id; Felony,2024-12-07 9:00,5795 Lerner Way,-122.272863,37.8708393
25-00083,459: PC; Burglary:second Degree; Misdemeanor,2024-12-07 9:15,2400 Durant Av,-122.260114,37.86724
25-01706,Lost Prop.: Lost Property,2024-12-09 11:30,2121 Berkeley Wy,-122.2683576,37.8737831
25-00955,Lost Prop.: Lost Property,2024-12-12 16:39,1 Centennial Dr,-122.246969,37.879492
25-02468,INFO: Information Only Report,2024-12-14 19:29,2222 Bancroft Wy,-122.26741212033184,37.86774458786539
25-02006,243(E)(1): PC; Battery:spouse/Ex Spouse/Date/Etc; Misdemeanor 287(C)(2)(A): PC; Oral Cop:by Use Of For Felony *(Rape x 8+) Civil: Civil Information Report,2024-12-15 12:00,2cid19cid19cid19 cid37cid79cid82cid70cid78 cid82cid73 Haste St,-122.26150095271012,37.86565836122066
25-00090,484(A): PC; Theft Of Personal Property; Misdemeanor,2024-12-22 3:30,2520 Channing Wy,-122.25740262790698,37.86703251162791
25-00035,Lost Prop.: Lost Property,2024-12-24 16:00,Law Building 226D Law Building,-122.253131,37.869752
25-00115,484G: PC; Theft By Use Of Access Card Information; Misdemeanor,2024-12-25 0:30,1 Centennial Dr,-122.246969,37.879492
25-00028,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2024-12-25 5:39,1301 S 46th St,-122.272863,37.8708393
25-00206,459: PC; Burglary:first Degree; Felony 594(A)(1): PC; Vandalism:deface Property Felony,2024-12-26 0:30,1301 S 46th St,-122.272863,37.8708393
25-00013,OA-BPD: Outside Assist - BPD OA-AUTO THEFT: Outside Assist - Auto The,2024-12-26 17:52,1608 Fourth St,-122.30222713682431,37.8731658
25-00029,594(A)(1): PC; Vandalism:deface Property; Misdemeanor,2024-12-27 11:30,2700 Hearst Av,-122.25551,37.875524
25-00041,484(A): PC; Theft Of Personal Property; Misdemeanor,2024-12-27 13:00,865 Kinkead Wy,-122.272863,37.8708393
25-00027,484G: PC; Theft By Use Of Access Card Information; Misdemeanor,2024-12-28 12:00,1 Centennial Dr,-122.246969,37.879492
25-00082,484G(B): PC; Unauth Use Accss Crd 950+; Felony,2024-12-28 12:00,Sutardja Dai Hall,-122.2583368484039,37.8748734
25-00066,484(A): PC; Theft Of Personal Property; Misdemeanor,2024-12-29 0:00,Doe Library,-122.259498421875,37.87219215
25-00006,459: PC; Burglary:first Degree; Felony,2024-12-30 12:00,1301 S 46th St,-122.272863,37.8708393
25-00131,INFO: Information Only Report,2024-12-30 12:00,2650 Durant Av,-122.2552301968402,37.86782
25-00354,INFO: Information Only Report,2024-12-30 12:00,670 Kula Gulf Wy,-122.303732,37.8838124
25-00570,594(A)(1): PC; Vandalism:deface Property; Felony,2025-01-01 0:00,2601 Warring St,-122.250147,37.864041
25-00001,SUPP: Supplemental Reports OA-BPD: Outside Assist - BPD Caslty-Alcohol Inv: Injury/Illness - Alc Related,2025-01-01 11:18,2500 Bancroft Wy,-122.259026,37.86866
25-00002,647(H): PC; Disorderly Conduct:loiter/Etc Private Property; Misdemeanor,2025-01-02 8:15,University Village UVA,-122.272863,37.8708393
25-00003,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2025-01-02 9:45,Haas Pavilion,-122.26220609544905,37.86939045
25-00005,INFO: Information Only Report,2025-01-02 11:52,09012023 0000 Unknown Location,-122.272863,37.8708393
25-00007,INFO: Information Only Report *Assault *Sexual Assault *Stalking *Intimidation,2025-01-02 11:57,1900 Block of Oxford St,-122.272863,37.8708393
25-00004,SUPP: Supplemental Reports 626: Exclusion Order Issued,2025-01-02 11:59,2333 College Av,-122.25423115947426,37.86809365
25-00008,459: PC; Burglary:first Degree; Felony 626.10(B): PC; Poss Wpn Univ Not F/Arm; Felony 1203.2(A): PC; Probation V iolation:rearrest/Revoke; Misdemeanor 466: PC; Possess/Etc Burglary Tools; Misdemeanor 11364(A): HS; Possess Unlawful Paraphern Misdemeanor 626: Exclusion Order Issued,2025-01-02 19:20,1051 Monroe St,-122.272863,37.8708393
25-00009,Caslty: Injury/Illness,2025-01-03 4:19,555 Ohlone Av,-122.272863,37.8708393
25-00011,647(H): PC; Disorderly Conduct:loiter/Etc Private Property; Misdemeanor 484(A): PC; Petty Theft; Misdemeanor,2025-01-03 6:51,935 Ohlone Ave,-122.272863,37.8708393
25-00012,459: PC; Burglary: Second Degree; Felony,2025-01-03 6:58,GPB Garage,-122.252685,37.872386
25-00010,SUPP: Supplemental Reports 978.5: PC; Bench Warrant/Failure To Appe On Misdemeanor Charge; Misdemeanor UCBPD-WAR-M: Misdemeanor Warrant From Ucbpd,2025-01-03 8:54,2301 Bancroft Wy,-122.260816,37.868605
25-00188,484(A): PC; Theft Of Personal Property; Misdemeanor,2025-01-03 10:30,2400 Durant Av,-122.260114,37.86724
25-00032,484G: PC; Theft By Use Of Access Card Information; Misdemeanor,2025-01-03 12:18,786 Red Oak Av,-122.272863,37.8708393
25-00020,PRODAM: Property Damage,2025-01-03 12:30,2645 Haste St,-122.2544244,37.8673072
25-00097,INFO: Information Only Report,2025-01-03 13:36,1422 5TH ST,-122.30183614874376,37.87643825
25-00014,10852: VC; Tamper With Vehicle; Misdemeanor,2025-01-03 18:39,01032025 0927 2214 Bancroft Wy,-122.294119,37.86395
25-00017,Caslty: Injury/Illness,2025-01-03 20:16,Sproul Hall,-122.25877388866844,37.8696038
25-00015,459: PC; Burglary: Second Degree; Felony,2025-01-03 20:40,01032025 1500 2309 Haste St,-122.262837,37.865683
25-00016,459: PC; Burglary: Second Degree; Felony,2025-01-03 20:47,Unknown Date  Time 2309 Haste St,-122.262837,37.865683
25-00018,273.5(A): PC; Inflict Corporal Injury On Spouse/Cohabitant/Datng Relatnshp; Misd SUPP: Supplemental Reports,2025-01-03 22:59,University Village UVA,-122.272863,37.8708393
25-00164,487(A): PC; Grand Theft:money/Labor/Property; Felony,2025-01-04 13:08,2400 Durant Av,-122.260114,37.86724
25-00147,Lost Prop.: Lost Property,2025-01-04 18:58,2650 Durant Av,-122.2552301968402,37.86782
25-00191,487(A): PC; Grand Theft:money/Labor/Property; Felony,2025-01-04 23:30,2400 Durant Av,-122.260114,37.86724
25-00021,243(B): PC; Battery On Peace Officer/Emergency Personnel/Etc; Misdeme 5150: WI; 72 Hour Mental Health Hold;,2025-01-04 23:47,Sproul Hall,-122.25877388866844,37.8696038
25-00026,459: PC; Burglary:first Degree; Felony SUPP: Supplemental Reports 594(A)(1): PC; Vandalism:deface Property Felony,2025-01-05 5:30,1301 S 46th St,-122.272863,37.8708393
25-00162,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2025-01-05 8:15,2400 Durant Av,-122.260114,37.86724
25-00040,INFO: Information Only Report *Stalking *273.6(A): PC; Viol Crt Ord Dom *01/05/2 Violence; Misdemeanor,2025-01-05 11:29,2535 Channing Wy,-122.25739897674418,37.86719990697674
25-00038,Lost Prop.: Lost Property,2025-01-05 12:01,McCone Hall,-122.25970862318384,37.87412275
25-00023,22651 (D): VC; Towed For Blocking Driveway;,2025-01-05 15:31,Optometry Ln,-122.272863,37.8708393
25-00024,626: Exclusion Order Issued SUPP: Supplemental Reports 626.6(A): PC; Nnstdnt Refuse Leave Univ; Misdemeanor,2025-01-05 16:33,2333 College Av,-122.25423115947426,37.86809365
25-00025,INFO: Information Only Report,2025-01-05 23:34,Bauer Wurster Hall,-122.25490130888858,37.87058195
25-00030,Caslty: Injury/Illness,2025-01-06 15:07,West Crescent,-122.272863,37.8708393
25-00031,12500 (A): VC; Drive Without Licence; Misdemeanor,2025-01-06 15:45,Channing Wy,-122.29569816420656,37.86174439180047
25-00065,OA-THEFT: Outside Assist - Theft,2025-01-07 3:01,1315 Alma Ave,-122.272863,37.8708393
25-00034,11550(A): HS; Use/Under Influence Of Controlled Substance; Misdemeanor 11364(A): HS; Possess Unlawful Paraphern Misdemeanor,2025-01-07 9:44,Lower Sproul Garage,-122.2606309,37.8688322
25-00039,INFO: Information Only Report,2025-01-07 9:54,Sproul Hall,-122.25877388866844,37.8696038
25-00036,243(E)(1): PC; Battery:spouse/Ex Spouse/Date/Etc; Misdemeanor,2025-01-07 10:24,10012024 0001 University Village Apartments UVA,-122.272863,37.8708393
25-00037,415(2): PC; Disturb By Loud/Unreasonable Noise; Misdemeanor 626: Exclusion Order Issued,2025-01-07 10:44,1995 University Av,-122.2717944,37.8722619
25-00042,Caslty: Injury/Illness,2025-01-07 16:01,2222 Bancroft Wy,-122.26741212033184,37.86774458786539
25-00043,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,2025-01-07 16:08,2424 Haste St,-122.25966220370196,37.86568885
25-00044,OA-THEFT: Outside Assist - Theft,2025-01-07 19:55,Telegraph Av,-122.2590947665617,37.8682597013377
25-00045,OA-BPD: Outside Assist - BPD,2025-01-07 23:52,Eighth St,-122.29370635761468,37.8627417853943
25-00047,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor 594(A)(1): PC; Vandalism:deface Property Felony *Burglary,2025-01-08 12:48,01082025 1100 4927 Happy Valley Rd,-122.272863,37.8708393
25-00049,626: Exclusion Order Issued,2025-01-08 14:03,2151 Berkeley Wy,-122.26776987710174,37.87326659826463
25-00048,Caslty: Injury/Illness,2025-01-08 14:45,Wickson Gate,-122.26319845380284,37.87252368580313
25-00050,626: Exclusion Order Issued,2025-01-08 20:26,2151 Berkeley Wy,-122.26776987710174,37.87326659826463
25-00051,242: PC; Battery On Person; Misdemeanor 148(A)(1): PC; Obstruct/Resist/Etc Publi Officer/Emergency Med Tech; Misde 626: Exclusion Order Issued *Battery *Robbery,2025-01-08 23:43,Sproul Hall,-122.25877388866844,37.8696038
25-00052,1203.2(A): PC; Probation Violation:rearrest/Revoke; Felony 166(A)(4): PC; Contempt Of Court:disobey Court Order/Etc; Misdemeanor 594(A)(1): PC; Vandalism:deface Property Felony OTHER CRIME: Other Criminal Code Violation 148(A)(1): PC; Obstruct/Resist/Etc Publi Officer/Emergency Med Tech; Misde 243(B): PC; Battery On Peace Officer/Emergency Personnel/Etc; Misdeme SUPP: Supplemental Reports,2025-01-09 9:08,Alumni House,-122.26113980585384,37.8697481
25-00053,1203.2(A): PC; Probation Violation:rearrest/Revoke; Felony SUPP: Supplemental Reports 594(A)(2): PC; Vandalism:damage Property Felony,2025-01-09 9:14,2200 Bancroft Wy,-122.26563645726156,37.8673933
25-00058,OA-THEFT: Outside Assist - Theft,2025-01-09 9:31,Telegraph Av,-122.2590947665617,37.8682597013377
25-00054,Deceased: Deceased Person,2025-01-09 10:08,Sutardja Dai Hall,-122.2583368484039,37.8748734
25-00055,Caslty: Injury/Illness,2025-01-09 10:48,Valley Life Science Building,-122.262078,37.871144
25-00056,SUSPKG: Suspicious Package,2025-01-09 11:02,12012024 0001 2626 Bancroft Wy,-122.25593425935196,37.86865795
25-00057,Lost Prop.: Lost Property,2025-01-09 14:09,01012024 0001 2220 Piedmont Av,-122.255635,37.872407
25-00060,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2025-01-09 16:40,2299 Piedmont Av,-122.2519432,37.8697156
25-00061,148.4(A)(2): PC; Send/Etc False Fire Alarm By Any Method; Misdemeanor,2025-01-09 18:36,Lower Sproul Garage,-122.2606309,37.8688322
25-00062,Caslty: Injury/Illness,2025-01-09 19:58,Sather Gate,-122.259509,37.8702403
25-00063,594(A)(1): PC; Vandalism:deface Property; Misdemeanor *594(A)(1): PC; Vandalism:deface Property; Misdemeanor *594(A)(1): PC; Vandalism:deface Property; Misdemeanor,2025-01-09 20:17,01092025 2002 2301 Bancroft Wy,-122.25593425935196,37.86865795
25-00064,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor 166(A)(4): PC; Contempt Of Court:disobey Court Order/Etc; Misdemeanor 11377(A): HS; Possess Controlled Substan Felony 626: Exclusion Order Issued,2025-01-10 8:40,485 Ohlone Av,-122.272863,37.8708393
25-00068,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor,2025-01-10 10:38,2299 Piedmont Av,-122.2519432,37.8697156
25-00067,Caslty: Injury/Illness,2025-01-10 11:59,Minor Hall,-122.25473783871234,37.8715126
25-00069,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2025-01-10 15:46,2151 Berkeley Wy,-122.26776987710174,37.87326659826463
25-00501,653M(B): PC; With Intent To Annoy Or Harass With Repeat Calls/Contact; Misdemeanor SUPP: Supplemental Reports *Stalking,2025-01-10 16:06,On Campus,-122.272863,37.8708393
25-00070,OA-BPD: Outside Assist - BPD OA-NON-CRIMINAL: Outside Assist - Non-Criminal,2025-01-10 18:57,Oxford Ln,-122.26655849523584,37.87002369532758
25-00071,INFO: Information Only Report *148.1 PC; False Bomb Report; Felony,2025-01-10 19:42,Zellerbach Hall,-122.26078800973944,37.8690496
25-00072,Caslty: Injury/Illness,2025-01-10 20:55,1 Cyclotron Rd,-122.25346345559628,37.874931643733575
25-00084,487(A): PC; Grand Theft:money/Labor/Property; Felony,2025-01-11 3:12,Law Building Lot,-122.253131,37.869752
25-00074,Caslty: Injury/Illness,2025-01-11 11:59,CKC FIRE TRAIL,-122.272863,37.8708393
25-00075,INFO: Information Only Report,2025-01-11 13:44,1950 Oxford St,-122.26642930385086,37.87369003850856
25-00076,DEMO: Demonstration,2025-01-11 19:45,Peoples Park Housing Construction Site,-122.272863,37.8708393
25-00087,PRODAM: Property Damage,2025-01-11 23:15,17 Gauss Wy,-122.243996,37.880633
25-00085,487(A): PC; Grand Theft:money/Labor/Property; Felony,2025-01-12 1:15,Northwest Animal Facility,-122.2655224,37.8736627
25-00077,Caslty: Injury/Illness,2025-01-12 1:31,Simon Hall,-122.25268594356828,37.8698778
25-00078,INFO: Information Only Report,2025-01-12 5:31,Sproul Hall,-122.25877388866844,37.8696038
25-00079,594(A)(1): PC; Vandalism:deface Property; Felony,2025-01-12 8:26,Cesar Chavez Center,-122.26015656396348,37.8697482
25-00080,OA-OTHER CRIME: Outside Assist - Other Crime *422: PC; Threaten Crime W/Intent to Terrorize; Felony,2025-01-12 8:51,Codornices Creek,-122.26036666542744,37.887228313148704
25-00081,594(A)(1): PC; Vandalism:deface Property; Felony,2025-01-12 8:57,Zellerbach Hall,-122.26078800973944,37.8690496
25-00088,518(A): PC; Extortion; Felony,2025-01-13 5:22,2424 Haste St,-122.25966220370196,37.86568885
25-00086,314(1): PC; Indecent Exposure; Misdemeanor,2025-01-13 9:53,2415 Bowditch St,-122.25621929426624,37.866137951654
25-00089,PRODAM: Property Damage,2025-01-13 10:44,LBNL82,-122.272863,37.8708393
25-00091,INFO: Information Only Report,2025-01-13 20:46,Durant Av,-122.2636587081442,37.86721299757068
25-00092,422(A): PC; Threaten Crime With Intent To Terrorize; Felony 594(A)(1): PC; Vandalism:deface Property Misdemeanor 484(A): PC; Petty Theft; Misdemeanor 1203.2(A): PC; Probation Violation:rearrest/Revoke; Misdemeanor OA-BPD: Outside Assist - BPD,2025-01-13 22:58,1444 Shattuck Av,-122.26951181150442,37.88147158188514
25-00099,487(A): PC; Grand Theft:money/Labor/Property; Felony,2025-01-14 0:00,2232 Piedmont Av,-122.2520954,37.86949858571429
25-00126,PRODAM: Property Damage,2025-01-14 0:23,2650 Durant Av,-122.2552301968402,37.86782
25-00093,148.4(A)(1): PC; Tamper/Etc With Fire Alarm/Etc; Misdemeanor,2025-01-14 10:59,2309 Haste St,-122.262837,37.865683
25-00094,5150: WI; 72 Hour Mental Health Hold; SUPP: Supplemental Reports *Assault,2025-01-14 11:53,Upper Sproul Plaza cid23,-122.259346,37.869473
25-00096,INFO: Information Only Report,2025-01-14 12:29,011cid22cid182025 cid20cid26cid29cid22cid19 cid50cid81 cid38acid80cid83us cid19,-122.272863,37.8708393
25-00095,Caslty: Injury/Illness,2025-01-14 12:30,2120 Oxford St,-122.26604463157896,37.87033631578947
25-00104,594(B)(2)(A): PC; Vandalism Less Than $400; Misdemeanor 484(A): PC; Theft Of Personal Property; Misdemeanor,2025-01-14 16:30,Latimer Hall,-122.255914566482,37.87310845
25-00100,Caslty: Injury/Illness,2025-01-14 21:21,Barker Hall,-122.26548032875245,37.8739629
25-00101,INFO: Information Only Report 11364(A): HS; Possess Unlawful Paraphern Misdemeanor,2025-01-14 22:41,2996 Telegraph Av,-122.2601327,37.856400050000005
25-00102,INFO: Information Only Report,2025-01-15 3:12,Unknown 2535 Channing Way,-122.25739897674418,37.86719990697674
25-00727,Civil: Civil Information Report SUPP: Supplemental Reports *Stalking,2025-01-15 9:47,cid13cid132700 cid37cid79cid82cid70cid78 cid82cid73 Hearst Av,-122.29109499749464,37.87060032614356
25-00106,PRODAM: Property Damage,2025-01-15 13:39,1806 Walnut St,-122.267851059977,37.8747549
25-00107,INFO: Information Only Report,2025-01-15 13:40,Bauer Wurster Hall,-122.25490130888858,37.87058195
25-00108,484(A): PC; Theft Of Personal Property; Misdemeanor,2025-01-15 14:44,2601 Warring St,-122.250147,37.864041
25-00109,OA-BPD: Outside Assist - BPD 646.9(A): PC; Stalking; Misdemeanor *422: PC; Criminal Threat,2025-01-15 16:05,Channing Wy,-122.29569816420656,37.86174439180047
25-00110,602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor 626: Exclusion Order Issued,2025-01-15 17:44,Bauer Wurster Hall,-122.25490130888858,37.87058195
25-00111,626: Exclusion Order Issued UCBPD-WAR-M: Misdemeanor Warrant From Ucbpd,2025-01-15 18:01,Calvin Lab,-122.298058,37.863911
25-00970,Lost Prop.: Lost Property,2025-01-16 0:00,Sproul Hall,-122.25877388866844,37.8696038
25-00113,SUPP: Supplemental Reports 242: PC; Battery On Person; Misdemeanor 1203.2(A): PC; Probation Violation:rearrest/Revoke; Misdemeanor 626: Exclusion Order Issued,2025-01-16 1:48,Upper Sproul Plaza,-122.25940006990032,37.8695157
25-00116,470(A): PC; Forgery; Felony,2025-01-16 2:00,1608 Fourth St,-122.30222713682431,37.8731658
25-00117,PRODAM: Property Damage,2025-01-16 12:10,Sather Tower Campanille,-122.2578158,37.8720577
25-00114,C aslty: Injury/Illness SUPP: Supplemental Reports,2025-01-16 12:43,Faculty Glade,-122.256521,37.871336
25-00118,INFO: Information Only Report,2025-01-16 15:40,01162025 1534 Northwest Animal Facility Loading Dock Northwest,,
25-00119,Caslty: Injury/Illness,2025-01-16 18:07,LHS Vista Lot,-122.272863,37.8708393
25-00120,12500 (A): VC; Drive Without Licence; Misdemeanor 22450(A): VC; Failure to Stop At A Stop Infraction,2025-01-16 21:45,Bowditch St,-122.25655077869376,37.86721320422173
25-00124,459: PC; Burglary:second Degree; Misdemeanor,2025-01-17 2:30,485 Ohlone Av,-122.272863,37.8708393
25-00121,Caslty: Injury/Illness,2025-01-17 2:39,2401 Durant Av,-122.26110790700152,37.8680285
25-00240,594(A)(1): PC; Vandalism:deface Property; Felony,2025-01-17 3:15,2223 Fulton St,-122.2662765589625,37.86844117115035
25-00122,647(E): PC; Disorderly Conduct:lodge Without Owners Consent; Misdemeanor 148.9(A): PC; Give False Id To Po; Misdemeanor,2025-01-17 7:39,Spieker Plaza,-122.26162743874892,37.869232972407
25-00123,470(D): PC; Forgery:false Checks/Records/Certificates/Etc; Felony,2025-01-17 11:03,12112024 0000 2495 Bancroft Wy,-122.25593425935196,37.86865795
25-00132,594(A)(1): PC; Vandalism:deface Property; Felony,2025-01-17 12:00,West Crescent,-122.272863,37.8708393
25-00127,20002 (A): VC; Hit and Run:property Damage; Misdemeanor,2025-01-17 12:33,1995 University Av,-122.2717944,37.8722619
25-00125,314(1): PC; Indecent Exposure; Misdemeanor,2025-01-17 14:25,2222 Bancroft Wy,-122.26741212033184,37.86774458786539
25-00129,OA-BPD: Outside Assist - BPD OA-NON-CRIMINAL: Outside Assist - Non-Criminal,2025-01-17 18:04,San Pablo Av,-122.29394243905432,37.87445438787536
25-00130,594(A)(1): PC; Vandalism:deface Property; Felony,2025-01-18 5:51,Spieker Plaza,-122.26162743874892,37.869232972407
25-00133,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2025-01-18 13:01,2227 Piedmont Av,-122.2528493741714,37.87087733429054
25-00135,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor SUPP: Supplemental Reports,2025-01-18 13:30,2227 Piedmont Av,-122.2528493741714,37.87087733429054
25-00134,484(A): PC; Theft Of Personal Property; Misdemeanor,2025-01-18 13:55,2301 Bancroft Wy,-122.260816,37.868605
25-00140,594(A)(1): PC; Vandalism:deface Property; Felony *INFO: Information Only Report *01/18/20,2025-01-18 14:20,McLaughlin Hall,-122.25905005086965,37.8738328
25-00139,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2025-01-18 15:15,2227 Piedmont Av,-122.2528493741714,37.87087733429054
25-00194,484(A): PC; Petty Theft; Misdemeanor,2025-01-18 15:45,2400 Durant Av,-122.260114,37.86724
25-00137,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor SUPP: Supplemental Reports,2025-01-18 16:07,01182025 1300 2227 Piedmont Av,-122.2528148,37.8708714
25-00138,602(O): PC; Trespass:refuse To Leave Property; Misdemeanor 626: Exclusion Order Issued,2025-01-18 16:23,Minor Hall,-122.25473783871234,37.8715126
25-00146,459: PC; Burglary:first Degree; Felony,2025-01-19 0:50,3800 San Pablo Av,-122.29347345,37.873
25-00156,594(A)(1): PC; Vandalism:deface Property; Felony *Burglary,2025-01-19 3:19,Valley Life Science Building,-122.262078,37.871144
25-00143,459: PC; Burglary: Second Degree; Felony,2025-01-19 4:36,Memorial Stadium Memorial Stadium,-122.25073605072416,37.8709949
25-00150,Caslty: Injury/Illness,2025-01-19 15:03,Bancroft Way,-122.28565157020569,37.86528873030079
25-00149,OA-BPD: Outside Assist - BPD OA-NON-CRIMINAL: Outside Assist - Non-Criminal,2025-01-19 16:09,2000 block of University Av,-122.272863,37.8708393
25-00195,594(A)(1): PC; Vandalism:deface Property; Felony,2025-01-20 4:15,2223 Fulton St,-122.2662765589625,37.86844117115035
25-00154,OA-BOMB: Outside Assist - Bomb Call,2025-01-20 9:39,7576 REDWOOD BLVD,-122.272863,37.8708393
25-00157,OA-BPD: Outside Assist - BPD OA-NON-CRIMINAL: Outside Assist - Non-Criminal,2025-01-20 12:16,12192024 0000 2600 Durant Av,-122.25631195016608,37.8679242
25-00155,DEMO: Demonstration,2025-01-20 12:27,Upper Sproul Plaza,-122.25940006990032,37.8695157
25-00214,484G(B): PC; Unauth Use Accss Crd 950+; Felony,2025-01-20 16:17,1051 Monroe St,-122.272863,37.8708393
25-00177,484(A): PC; Petty Theft; Misdemeanor,2025-01-20 19:00,2401 Durant Av,-122.26110790700152,37.8680285
25-00158,14601.2(A): VC; Driving W/Lic Susp/Revoked For Dui Violation; Misdemeanor 22450(A): VC; Failure to Stop At A Stop Infraction,2025-01-20 22:34,Warring St,-122.25066450399775,37.86692741880975
25-00159,4000 (A): VC; No Registration:vehicle/Trailer/Etc; Infrac 16028 (A): VC; Failure to Provide Financ Responsibility; Infraction 22651(o)(1): VC; Stored Vehicle-Registra Expired Over 6 Months; Infraction,2025-01-20 23:52,Bowditch St,-122.25655077869376,37.86721320422173
