Case #,Crime,Occurred (Averaged),Location,lon,lat
22-00680,5150: WI; 72 Hour Mental Health Hold,2022-04-04 02:37,Sproul Hall,-122.25877388866843,37.8696038
22-00681,602 (M): PC; TRESPASS:OCCUPY PROPERTY WITHOUT CONSENT 626: Exclusion Order Issued Scanned: Add Scanned Documents to Report,2022-04-04 07:53,Hearst Memorial Gymnasium Hearst Gym,-122.257164,37.874153
22-00682,Caslty: Injury/Illness,2022-04-04 08:13,Sproul Hall,-122.25877388866843,37.8696038
22-00683,Caslty: Injury/Illness,2022-04-04 08:33,Haviland Hall,-122.2611045603687,37.8737907
22-00684,OA-OTHER CRIME: Outside Assist - Other Crime 597: PC; Cruelty to Animal,2022-04-04 13:01,1301 S 46th St,-122.272863,37.8708393
22-00685,Lost Prop.: Lost Property OA-NON-CRIMINAL: Outside Assist - Non-Criminal Scanned: Add Scanned Documents to Report,2021-06-10 00:00,2201 Shattuck Av,-122.26813784181586,37.869252785421985
22-00686,Caslty: Injury/Illness,2022-04-04 15:31,2400 Durant Av,-122.260114,37.86724
22-00687,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft Scanned: Add Scanned Documents to Report,2022-04-03 18:00,Moffitt Library Moffitt Library,-122.2598416,37.873349
22-00688,*Caslty: Injury/Illness,2022-04-04 17:42,Campus,-122.288608,37.868541
22-00689,5150: WI; 72 Hour Mental Health Hold Scanned: Add Scanned Documents to Report,2022-04-04 19:47,Sproul Hall,-122.25877388866843,37.8696038
22-00690,487 (A): PC; Grand Theft:money/Labor/Property Over $950 Scanned: Add Scanned Documents to Report 415: PC; Disturbing the Peace,2022-04-03 11:30,2645 Haste St,-122.2544244,37.8673072
22-00690,487 (A): PC; Grand Theft:money/Labor/Property Over $950 Scanned: Add Scanned Documents to Report,2022-04-05 01:00,2645 Haste St,-122.2544244,37.8673072
22-00691,Lost Prop.: Lost Property,2022-03-29 17:00,Stanley Hall,-122.25608574376449,37.87396185
22-00693,647 (I): PC; Disorderly Conduct:peek Into Inhabited Building,2022-04-05 16:29,Morrison Hall,-122.25646922657933,37.870844250000005
22-00694,WELFARE: Welfare Check,2022-04-05 17:06,Sproul Hall,-122.25877388866843,37.8696038
22-00695,626: Exclusion Order Issued Scanned: Add Scanned Documents to Report,2022-04-05 18:42,Evans Diamond Evans Diamond,-122.263412870521,37.8694842
22-00696,602: PC; Tresspassing 10851 (A) VC: Take Vehicle W/O Owner's Consent,2022-04-05 14:20,730 Kinkead Wy,-122.272863,37.8708393
22-00692,415 - Disturbing the Peace 415 - Disturbing the Peace,2022-04-05 17:51,Bancroft Way,-122.28565157020569,37.86528873030079
22-00697,Caslty: Injury/Illness,2022-04-06 00:10,2401 Durant Av,-122.26110790700152,37.868028499999994
22-00698,Lost Prop.: Lost Property,2022-03-18 19:00,Tan Hall,-122.25645027921993,37.87309405
22-00699,Caslty: Injury/Illness,2022-04-06 12:37,Valley Life Science Building Valley Life Science Building,-122.272863,37.8708393
22-00700,Civil: Civil Information Report,2022-04-06 12:43,Sproul Hall,-122.25877388866843,37.8696038
22-00701,INFO: Information Only Report,2022-04-06 13:24,2450 Ashby Av,-122.2572187,37.8545681
22-00702,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft Scanned: Add Scanned Documents to Report,2022-04-05 17:30,Li Ka Shing Center Li Ka Shing Center,-122.265396,37.87281
22-00704,484 (A): PC; Theft,2022-04-06 15:30,2503 Haste St,-122.2585225860627,37.866127513824125
22-00705,Caslty: Injury/Illness,2022-04-06 18:10,2601 Warring St,-122.250147,37.864041
22-00706,484 (A): PC; Petty Theft,2022-04-06 17:30,2121 Berkeley Wy,-122.2683576,37.8737831
22-00707,314: PC; Indecent Exposure,2022-04-06 10:00,Faculty Club Faculty Club Rev 090418,-122.255518,37.871748
22-00708,"626.10 (B): PC; Possess Weapon/Etc On Campus:not Firearm 148 (A)(1): PC; Resist/Obstruct Police Officer, Etc",2022-04-07 11:33,Memorial Glade Memorial Glade,-122.259436,37.873221
22-00709,10852: VC; Tamper With Vehicle,2022-04-07 09:34,Sather Tower Sather Tower,-122.2578158,37.8720577
22-00710,415 (1)(2)(3): PC; Fight/Noise/Offensive Words,2022-04-07 14:31,2495 Bancroft Wy,-122.2598545,37.869332
22-00711,FIRE: Fire,2022-04-07 15:37,Peoples Park Peoples Park,-122.257299,37.865746
22-00712,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft Scanned: Add Scanned Documents to Report,2022-04-07 15:45,Golden Bear Cafe Golden Bear Cafe,-122.259703,37.869831
22-00713,664/484: PC; Attempted Petty Theft,2022-04-07 17:18,133 Red Oak Av,-122.272863,37.8708393
22-00714,OA-ROBBERY: Outside Assist - Robbery 647 - Lodging 647 - Lodging 415 - Disturbing the Peace 314 - Indecent Exposure 415 - Disturbing the Peace,2022-04-03 22:45,Dwight Wy,-122.28431535220662,37.86178476620944
22-00715,Civil: Civil Information Report,2022-04-08 09:17,Haste St,-122.26150095271011,37.86565836122066
22-00716,594: PC; Malicious Mischief/Vandalism,2022-04-08 01:15,Evans Hall,-122.25768131042068,37.873621099999994
22-00717,484 G: PC; Theft By Use of Access Card Information,2022-04-07 12:00,1608 Fourth St,-122.30222713682431,37.873165799999995
22-00718,484 (A): PC; Theft,2022-04-07 22:00,2650 Haste St,-122.25600252497779,37.866474196443825
22-00719,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2022-04-07 18:00,Stanley Hall,-122.25608574376449,37.87396185
22-00720,484 G: PC; Theft By Use of Access Card Information,2022-04-08 14:16,1608 Fourth St,-122.30222713682431,37.873165799999995
22-00721,PRODAM: Property Damage,,2601 Warring St,-122.250147,37.864041
22-00722,484 (A): PC; Theft,2022-04-08 16:06,2301 Bancroft Wy,-122.260816,37.868605
22-00723,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2022-04-08 18:08,2301 Bancroft Wy,-122.260816,37.868605
22-00724,664: PC; Attempt Crime [state Specific Crime] 10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2022-04-08 20:44,2301 Bancroft Wy,-122.260816,37.868605
22-00725,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2022-04-08 20:35,2301 Bancroft Wy,-122.260816,37.868605
22-00726,240: PC; Assault 11377 (A): HS; Possess Controlled Substance 11364: HS; Possess Controlled Substance Paraphernalia 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime],2022-04-08 21:43,2536 Channing Wy,-122.25736188372093,37.86703753488372
22-00727,452: PC; Unlawfully Causing Fire,2022-04-08 17:13,2601 Warring St,-122.250147,37.864041
22-00728,Caslty: Injury/Illness,2022-04-08 20:45,2601 Warring St,-122.250147,37.864041
22-00729,Caslty: Injury/Illness,2022-04-08 23:00,2001 Gayley Rd,-122.25611709380318,37.87475781058154
22-00730,Civil: Civil Information Report,2022-04-08 22:36,735 Gooding Wy,-122.272863,37.8708393
22-00731,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft 21310 PC - Possession of a Deadly Weapon,2022-04-08 22:00,2301 Bancroft Wy,-122.260816,37.868605
22-15962,317 PC - Weapon Brandishing 10862 VC - Tampering with Vehicle 415 - Disturbing the Peace 415 - Disturbing the Peace 484 - Petty Theft,2022-04-08 08:31,Unit 2 LHS Morrison Hall,-122.256128,37.870912
22-00732,594: PC; Malicious Mischief/Vandalism 484 (A): PC; Theft,,2220 Piedmont Av,-122.25286288751197,37.87097791199431
22-00733,DEMO: Demonstration,2022-04-09 12:12,Upper Sproul Plaza Upper Sproul Plaza,-122.25940006990031,37.8695157
22-00734,273.5 (A): PC; Inflict Corporal Injury On Spouse/Cohabitant 10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2022-04-09 14:31,On Campus,-122.272863,37.8708393
22-00735,*Caslty: Injury/Illness,2022-04-09 14:45,Haas Pavillion,-122.246027,37.872404
22-00736,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2022-04-04 07:00,2650 Haste St,-122.25600252497779,37.866474196443825
22-00737,MP: Missing Person - Disturbing the Peace,2022-04-09 06:52,East Gate Kiosk East Gate Kiosk Morrison Hall,-122.272863,37.8708393
22-00738,OA-NON-CRIMINAL: Outside Assist - Non-Criminal,2022-04-10 02:02,2500 Durant Av,-122.258805,37.867763
22-00739,"261: PC; Rape:not Specified - Trespass: Cultivated, Fenced, Posted Land - Indecent Exposure - Disturbing the Peace",2022-04-10 11:31,On Campus RSF Garage CKC Track UVA Rev 090418,-122.272863,37.8708393
22-00741,PRODAM: Property Damage,2022-04-11 04:59,Moffitt Library Moffitt Library,-122.2598416,37.873349
22-00742,WELFARE: Welfare Check,2022-04-11 00:28,Sproul Hall,-122.25877388866843,37.8696038
22-00743,664/10851: PC; Attempt to Operate Vehicle W/O Owner's Consent (Amended) Scanned: Add Scanned Documents to Report,2022-04-11 05:11,2400 Durant Av,-122.260114,37.86724
22-00744,Caslty: Injury/Illness,2022-04-11 09:16,Sproul Hall,-122.25877388866843,37.8696038
22-00745,Lost Prop.: Lost Property,2022-04-11 08:00,Sproul Hall,-122.25877388866843,37.8696038
22-00747,TC-Non Injury: Traffic Collision Non Injury Scanned: Add Scanned Documents to Report,2022-04-11 11:46,Centennial Dr,-122.24849847257846,37.8719471782372
22-00748,Caslty: Injury/Illness,2022-04-11 14:09,Wheeler Hall,-122.25917403060896,37.87132175
22-00749,484 (A): PC; Theft,2022-04-11 13:35,Wickson Natural Area Haviland Grove,-122.261049,37.874133
22-00750,594: PC; Malicious Mischief/Vandalism,,3800 San Pablo Av,-122.29347345,37.873
22-00751,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2022-04-06 21:00,2301 Bancroft Wy,-122.260816,37.868605
22-00752,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2022-04-11 16:30,Lower Sproul Plaza Lower Sproul Plaza,-122.2606309,37.8688322
22-00753,148.4: PC; False Fire Alarm,2022-04-11 19:40,Anthropology  Art Practice Building AAPB Rev 090418,-122.255099,37.869673
22-00754,OA-THEFT: Outside Assist - Theft SUPP: Supplemental Reports,2022-04-11 21:29,GLENN PARK IN SAN FRANCISCO,-122.272863,37.8708393
22-00755,INFO: Information Only Report *VC 23103(A) - Reckless Driving (E) PC; Mail Theft,2022-04-11 16:49,North Sproul Lot,-122.272863,37.8708393
22-00746,(A) PC; Theft - Disturbing the Peace - Disturbing the Peace,2022-04-11 00:14,Peoples Park LHS Lot,-122.272863,37.8708393
22-00756,484 (A): PC; Theft SUPP: Supplemental Reports,2022-04-10 20:00,2301 Bancroft Wy,-122.260816,37.868605
22-00757,5150: WI; 72 Hour Mental Health Hold Scanned: Add Scanned Documents to Report,2022-04-12 02:03,Sproul Hall,-122.25877388866843,37.8696038
22-00758,594: PC; Malicious Mischief/Vandalism,2022-04-12 09:06,Octagon Bridge Octagon Bridge,-122.26176945,37.8703031
22-00759,484 G: PC; Theft By Use of Access Card Information,2022-04-11 00:01,200 Centennial Dr,-122.2388985,37.8756959
22-00760,Civil: Civil Information Report,2022-04-12 12:20,Campus Campus,-122.272863,37.8708393
22-00762,OA-AUTO THEFT: Outside Assist - Auto Theft Scanned: Add Scanned Documents to Report,2022-04-12 10:45,2301 Bancroft Wy,-122.260816,37.868605
22-00764,484 (A): PC; Theft,2022-04-12 17:40,2420 Bowditch St,-122.25621354959466,37.86610367095072
22-00765,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft Scanned: Add Scanned Documents to Report,2022-04-12 15:30,Wheeler Hall,-122.25917403060896,37.87132175
22-00766,415.5: PC; Disturb The Peace At College/University,2022-04-12 18:38,Doe Library Doe Library,-122.25949842187501,37.872192150000004
22-00767,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft Scanned: Add Scanned Documents to Report,2022-04-12 14:22,Bauer Wurster Hall,-122.25490130888858,37.87058195
22-00768,"647 (H): PC; Disorderly Conduct:loiter,prowl private prop w/o lawful business",2022-04-12 23:20,Red Oak Av,-122.272863,37.8708393
22-00769,647 (E): PC; Disorderly Conduct:lodge Without Owners Consent 626: Exclusion Order Issued Scanned: Add Scanned Documents to Report,2022-04-13 06:54,Hearst Memorial Gymnasium Hearst Gym,-122.257164,37.874153
22-00770,Civil: Civil Information Report,2022-04-13 09:11,Dwinelle Hall,-122.2607432628604,37.8707285
22-00771,INFO: Information Only Report,2022-04-12 21:58,2121 Allston Wy,-122.2668528,37.869629
22-00772,626.6 (A): PC; Nonstudent Refuse to Leave Campus 626: Exclusion Order Issued Scanned: Add Scanned Documents to Report,2022-04-14 00:16,Bancroft Wy,-122.28565157020569,37.86528873030079
22-00773,415: PC; Disturb The Peac e * 484(A): PC; Theft,2022-04-14 08:29,Valley Life Science Building 2060 Valley Life Science Building  Martin Luther King Jr Student Union,-122.272863,37.8708393
22-00774,459V: PC; Burglary Vehicle,2022-04-14 09:52,Witter Field Witter Field,-122.249073,37.871156
22-00776,WELFARE: Welfare Check,2022-04-14 15:30,Upper Sproul Plaza Upper Sproul Plaza,-122.25940006990031,37.8695157
22-00777,664: PC; Attempt Crime [state Specific Crime] 518: PC; Extortion,2022-04-14 00:58,2650 Haste St,-122.25600252497779,37.866474196443825
22-00778,OA-NON-CRIMINAL: Outside Assist - Non-Criminal,2022-04-06 08:30,1905 5th St,-122.29912758473051,37.868973434780365
22-00779,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2022-04-14 00:30,LHS Lower Lot,-122.272863,37.8708393
22-00780,OA-VEH BURGLARY: Outside Assist - Vehicle Burglary,2022-03-16 17:00,2227 Piedmont Av,-122.25284937417139,37.87087733429054
22-00781,Caslty: Injury/Illness - Disturbing the Peace - Disturbing the Peace,2022-04-14 16:28,Law Building Lot,-122.253131,37.869752
22-00782,"148.9 (A): PC; False Identification to Police Officer 594: PC; Malicious Mischief/Vandalism 484 E(A): PC; Acquire Access Card Without Consent W/Intent to Sell/Etc 148 (A)(1): PC; Resist/Obstruct Police Officer, Etc 626.10 (B): PC; Possess Weapon/Etc On Campus:not Firearm Scanned: Add Scanned Documents to Report",2022-04-15 01:32,2645 Haste St,-122.2544244,37.8673072
22-00783,Caslty: Injury/Illness,2022-04-15 02:05,Sproul Hall,-122.25877388866843,37.8696038
22-00784,Caslty: Injury/Illness,2022-04-15 09:09,Stanley Hall,-122.25608574376449,37.87396185
22-00785,484 (A): PC; Theft,2022-04-06 22:00,2301 Bancroft Wy,-122.260816,37.868605
22-00786,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft Scanned: Add Scanned Documents to Report,2022-04-15 12:03,Evans Hall,-122.25768131042068,37.873621099999994
22-00787,594: PC; Malicious Mischief/Vandalism,2022-04-15 01:30,Peoples Park Peoples Park,-122.257299,37.865746
22-00788,Caslty: Injury/Illness,2022-04-15 16:02,Sather Gate Sather Gate,-122.259509,37.8702403
22-00789,Caslty: Injury/Illness,2022-04-15 20:08,Peoples Park Peoples Park,-122.257299,37.865746
22-00790,484 (A): PC; Theft,2022-04-15 20:27,Hearst Memorial Gymnasium Hearst Gym,-122.257164,37.874153
22-00791,484 (A): PC; Theft,2022-04-15 17:00,Doe Library Doe Library Rev 090418,-122.259624,37.872531
22-00792,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2022-04-15 20:50,2495 Bancroft Wy,-122.2598545,37.869332
22-00793,Civil: Civil Information Report - Drunk in Public - Lodging M - Trspss-Real Prop/Struct W/O Owner Cnsnt O - Trespass-Fail To Leave,2022-04-15 18:37,2401 Durant Av,-122.26110790700152,37.868028499999994
22-00794,22651(n): VC; Posted Tow Away Zone,2022-04-16 06:34,Foothill Lot,-122.25298596214569,37.8741938
22-00795,PRODAM: Property Damage,2022-04-16 08:42,Foothill Lot,-122.25298596214569,37.8741938
22-00796,Civil: Civil Information Report Scanned: Add Scanned Documents to Report,2022-04-16 08:09,625 West End Wy,-122.272863,37.8708393
22-00797,22651(n): VC; Posted Tow Away Zone,2022-04-16 09:12,Foothill Lot,-122.25298596214569,37.8741938
22-00799,594 (B)(1): PC; Vandalism ($400 Or More),2022-04-16 02:37,2821 Claremont Bl PX Berkeley,-122.244874,37.859284
22-00800,484 (A): PC; Theft Scanned: Add Scanned Documents to Report,2022-04-16 01:22,530 Kinkead Wy,-122.272863,37.8708393
22-00801,Caslty: Injury/Illness,2022-04-16 12:32,Lower Sproul Garage Lower Sproul Garage,-122.2606309,37.8688322
22-00802,INFO: Information Only Report,2022-04-16 13:46,Morrison Hall,-122.25646922657933,37.870844250000005
22-00803,242: PC; Battery Scanned: Add Scanned Documents to Report,2022-04-16 15:56,Peoples Park Peoples Park,-122.257299,37.865746
22-00804,Caslty: Injury/Illness,2022-04-16 20:41,Faculty Club Mens Faculty Club,-122.255518,37.871748
22-00805,484 (A): PC; Theft,2022-04-14 14:30,Cheit Hall,-122.25431333014383,37.87184365
22-00806,Caslty: Injury/Illness,2022-04-17 03:17,2299 Piedmont Av,-122.2519432,37.8697156
22-00807,245 (A): PC; Assault With A Deadly Weapon,2022-04-17 12:11,Peoples Park Peoples Park,-122.257299,37.865746
22-00808,484 (A): PC; Petty Theft,2022-04-16 16:00,2601 Warring St,-122.250147,37.864041
22-00809,148.4: PC; False Fire Alarm,2022-04-17 19:56,2645 Haste St,-122.2544244,37.8673072
22-00810,INFO: Information Only Report,2022-04-17 19:30,2400 Durant Av,-122.260114,37.86724
22-00811,Caslty: Injury/Illness,2022-04-18 01:47,2650 Durant Av,-122.25523019684019,37.867819999999995
22-00812,Caslty: Injury/Illness,2022-04-18 00:30,2601 Warring St,-122.250147,37.864041
22-00813,INFO: Information Only Report,2022-04-18 08:17,1020 Jackson St,-122.272863,37.8708393
22-00814,Caslty: Injury/Illness,2022-04-18 11:45,McLaughlin Hall,-122.25905005086963,37.8738328
22-00815,459V: PC; Burglary Vehicle,2022-04-16 19:40,Coffer Dam Coffer Dam,-122.272863,37.8708393
22-00817,Caslty: Injury/Illness,2022-04-18 14:20,17 Gauss Wy,-122.243996,37.880633
22-00818,484 (A): PC; Theft,2022-04-17 10:00,2601 Warring St,-122.250147,37.864041
22-00819,WELFARE: Welfare Check,2022-04-18 14:34,Golden Bear Cafe Golden Bear Cafe,-122.259703,37.869831
22-00820,INFO: Information Only Report,2022-04-17 03:00,Cesar Chavez Center Cesar Chavez Center,-122.260364,37.86962
22-00821,532 (A): PC; Obtain Money/Etc By False Pretenses [over $950],2022-04-18 14:41,420 Kula Gulf Wy,-122.3039132,37.8844525
22-00822,484 (A): PC; Theft,2022-04-12 09:45,2650 Durant Av,-122.25523019684019,37.867819999999995
22-00824,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft Scanned: Add Scanned Documents to Report,2022-04-18 19:10,Dwinelle Hall,-122.2607432628604,37.8707285
22-00825,INFO: Information Only Report Scanned: Add Scanned Documents to Report,2022-04-19 14:05,Starr East Asian Library East Asian Library,-122.26034140347176,37.873533949999995
22-00826,"OA-SEXUAL ASSAULT: Outside Assist - Sexual Assault Scanned: Add Scanned Documents to Report - Petty Theft L -Trespass-Cultivated,Fenced, Posted Land - Disturbing the Peace",2022-04-17 08:31,Berkeley 2536 Channing Way,-122.25736188372093,37.86703753488372
22-00827,Caslty: Injury/Illness,2022-04-20 03:06,2401 Durant Av,-122.26110790700152,37.868028499999994
22-00828,Caslty: Injury/Illness,2022-04-20 10:51,Peppertree Wy,-122.272863,37.8708393
22-00829,602: PC; Tresspassing,2022-04-20 12:54,1 Cyclotron Rd,-122.25346345559628,37.874931643733575
22-00830,Caslty: Injury/Illness,2022-04-20 16:50,Memorial Glade Memorial Glade,-122.259436,37.873221
22-00831,240: PC; Assault,2022-04-20 17:19,Golden Bear Cafe Golden Bear Cafe,-122.259703,37.869831
22-00832,Caslty: Injury/Illness,2022-04-20 17:08,Doe Library Doe Library,-122.25949842187501,37.872192150000004
22-00833,Caslty: Injury/Illness,2022-04-20 17:44,Foothill Complex Foothill Complex,-122.272863,37.8708393
22-00834,INFO: Information Only Report *Stalking,2022-04-20 18:35,Campus Campus,-122.272863,37.8708393
22-00835,Caslty: Injury/Illness,2022-04-20 20:25,Doe Library Doe Library,-122.25949842187501,37.872192150000004
22-00836,Caslty: Injury/Illness,2022-04-20 21:29,2400 Durant Av,-122.260114,37.86724
22-00837,484 (A): PC; Theft,2022-04-20 16:50,Memorial Glade Memorial Glade,-122.259436,37.873221
22-00838,626: Exclusion Order Issued Scanned: Add Scanned Documents to Report,2022-04-20 22:29,2400 Durant Av,-122.260114,37.86724
22-00839,Found Prop.: Found Property Scanned: Add Scanned Documents to Report,2022-04-21 02:05,2610 Channing Wy,-122.2563729387755,37.867161959183676
22-00840,Caslty: Injury/Illness,2022-04-21 02:53,2401 Durant Av,-122.26110790700152,37.868028499999994
22-00841,422: PC; Threaten Crime W/Intent to Terrorize SUPP: Supplemental Reports Scanned: Add Scanned Documents to Report,2022-04-21 07:15,Cesar Chavez Center Cesar Chavez Center,-122.260364,37.86962
22-00842,Caslty: Injury/Illness,2022-04-21 12:00,Minor Hall,-122.25473783871234,37.8715126
22-00843,Caslty: Injury/Illness,2022-04-21 18:18,2650 Durant Av,-122.25523019684019,37.867819999999995
22-00844,148.4: PC; False Fire Alarm - Lodging - Disturbing the Peace,2022-04-21 16:21,2200 Bancroft Wy,-122.26563645726156,37.8673933
22-00845,Caslty: Injury/Illness,2022-04-21 23:45,Sproul Hall,-122.25877388866843,37.8696038
22-00846,OA-ROBBERY: Outside Assist - Robbery,2022-04-22 02:07,Telegraph Av,-122.2590947665617,37.8682597013377
22-00847,INFO: Information Only Report,2022-04-22 09:08,Sather Gate Sather Gate,-122.259509,37.8702403
22-00848,INFO: Information Only Report,2022-04-22 11:04,Campus Campus,-122.272863,37.8708393
22-00849,484 (A): PC; Theft,2022-04-01 14:30,Doe Library Doe Library,-122.25949842187501,37.872192150000004
22-00850,594 (A)(2): PC; Vandalism: Damage Property,2022-04-22 00:56,Valley Life Science Building Valley Life Science Building,-122.272863,37.8708393
22-00851,PRODAM: Property Damage,2022-04-22 16:23,Sproul Hall,-122.25877388866843,37.8696038
22-00852,PRODAM: Property Damage - Indecent Exposure,2022-04-21 17:03,1301 S 46th St,-122.272863,37.8708393
22-00853,Caslty: Injury/Illness,2022-04-23 00:53,2650 Haste St,-122.25600252497779,37.866474196443825
22-00854,Caslty: Injury/Illness,2022-04-23 01:00,Peoples Park Peoples Park,-122.257299,37.865746
22-00855,11364: HS; Possess Controlled Substance Paraphernalia 11377 (A): HS; Possess Controlled Substance 626: Exclusion Order Issued,2022-04-23 01:47,2650 Durant Av,-122.25523019684019,37.867819999999995
22-00856,RULES: Rules Violation * PC 626.10(b) -Weapons on School Grounds,2022-04-23 02:32,2424 Channing Wy,-122.25951811764706,37.86675558823529
22-00857,22651 (D): VC; Towed For Blocking Driveway,2022-04-23 12:17,Hudson Field House Rugby Field House,-122.272863,37.8708393
22-00858,Caslty: Injury/Illness,2022-04-23 13:58,Hudson Field House Rugby Field House,-122.272863,37.8708393
22-00859,Caslty: Injury/Illness,2022-04-23 14:12,Memorial Stadium Memorial Stadium,-122.25073605072417,37.8709949
22-00861,484 (A): PC; Theft,2022-04-23 17:10,2301 Bancroft Wy,-122.260816,37.868605
22-00862,Caslty: Injury/Illness,2022-04-23 18:16,Moffitt Library Moffitt Library,-122.2598416,37.873349
22-00863,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2022-04-23 20:45,2643 Bancroft Wy,-122.25587444443686,37.86906808753832
22-00864,PRODAM: Property Damage,2022-04-23 22:15,Foothill1 Foothill1 Rev 090418,-122.256193,37.875597
22-00865,647 (F): PC; Disorderly Conduct:intox Drug With Alcohol - Petty Theft - Disturbing the Peace - Lodging - Lewd Conduct in Public,2022-04-23 23:44,Dwight Wy,-122.28431535220662,37.86178476620944
22-00866,WELFARE: Welfare Check,2022-04-24 05:02,Sproul Hall,-122.25877388866843,37.8696038
22-00867,245 (A): PC; Assault With A Deadly Weapon,2022-04-24 00:30,Peoples Park Peoples Park,-122.257299,37.865746
22-00868,5150: WI; 72 Hour Mental Health Hold,2022-04-24 11:35,West Crescent West Crescent,-122.272863,37.8708393
22-00869,Caslty: Injury/Illness,2022-04-24 14:42,Evans Diamond Evans Diamond,-122.263412870521,37.8694842
22-00871,WELFARE: Welfare Check,2022-04-24 18:57,Foothill6 34C Foothill6,-122.272863,37.8708393
22-00872,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2022-04-24 17:07,Moffitt Library Moffitt Library,-122.2598416,37.873349
22-00873,MISC: Miscellaneous Report,2022-04-24 21:50,Gayley Rd,-122.25611709380318,37.87475781058154
