Case #,Crime,Occurred (Averaged),Location
20-00770,664/10851: PC; Attempt to Operate Vehicle W/O Owner's Consent (Amended) 459V-F: PC; Burglary Vehicle,2020-04-09 06:50,810 Ohlone Av #814
20-00771,594: PC; Malicious Mischief/Vandalism,2020-04-07 18:38,Wurster Hall
20-00772,3056: PC; Violation Parole: Felony,2020-04-09 22:22,Center St & Oxford St
20-00773,Found Prop.: Found Property,2020-04-09 22:53,Center St W Oxford St (Rev. 09/04/18)
20-00774,594: PC; Malicious Mischief/Vandalism,2020-04-02 22:20,Underhill Lot
20-00775,242: PC; Battery,2020-04-10 02:22,Oxford St N Center St
20-00777,Caslty: Injury/Illness,2020-04-10 18:31,2650 Durant Av; Unit-1 Slottman (Rev. 09/04/18)
20-00778,273.5 (A): PC; Inflict Corporal Injury On Spouse/Cohabitant,2020-04-11 01:15,660 Kinkead Wy #302
20-00779,594 (A): PC; Vandalism [under $1000],2020-04-11 12:21,PARKING SPACE # 1207 West End Wy
20-00780,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-03-22 01:00,2650 Durant Av (Rev. 09/04/18)
20-00781,Found Prop.: Found Property INFO: Information Only Report,2020-04-12 19:25,605 Ohlone Av
20-00782,PRODAM: Property Damage,2020-04-12 20:58,Uva (Rev. 09/04/18)
20-00783,484 G: PC; Theft By Use of Access Card Information,2020-04-02 08:00,1608 4th Street
20-00784,459V-F: PC; Burglary Vehicle,2020-04-13 13:45,Coffer Dam; Coffer Dam
20-00786,10-42: Welfare Check,2020-04-13 19:46,2333 College Av
20-00787,626: Exclusion Order Issued,2020-04-13 23:20,Gpb Garage (Rev. 09/04/18)
20-00788,INFO: Information Only Report,2020-04-14 00:53,Mens Faculty Club
20-00789,SUPP: Supplemental Reports 242/243 (D): PC; Battery W/Serious Bodily Injury,2020-04-14 19:53,Peoples Park; Peoples Park
20-00790,5150: WI; 72 Hour Mental Health Hold,2020-04-14 23:21,Ucpd; Ucpd (Rev. 09/04/18)
20-00791,484 (A): PC; Petty Theft,2020-03-12 02:25,625 West End Wy #106
20-00792,Found Prop.: Found Property,2020-04-15 18:56,Li Ka Shing (Rev. 09/04/18)
20-00794,5150: WI; 72 Hour Mental Health Hold 626: Exclusion Order Issued,2020-04-16 12:11,Lower Sproul Pz; Lower Sproul Pz (Rev. 09/04/18)
20-00795,459: PC; Burglary: $950 Or Less,2020-04-16 18:58,2650 Durant Av
20-00796,653 X(A): PC; Annoying/Etc Calls to 911 626.6: PC; Nonstudent Refuse to Leave Campus (Amended) 166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime] 626: Exclusion Order Issued,2020-04-17 02:18,Oxford St & Berkeley Wy
20-00797,594: PC; Malicious Mischief/Vandalism 148.4 (A): PC; Tamper/Etc With Fire Alarm/Equipment (Amended),2020-04-17 09:04,Lower Hearst Parking Structure; Lower Hearst Parking Structure
20-00798,459: PC; Burglary: Second Degree 466: PC; Possess/Etc Burglary Tools 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime] 626: Exclusion Order Issued,2020-04-17 19:37,Ucpd; Ucpd (Rev. 09/04/18)
20-00799,311.11 (A): PC; Poss/Etc Matter Depicting Mnr Und 14 In Sexual Acts (Amended),2020-04-17 11:40,Internet
20-00802,OABPD: Outside Assist - BPD,2020-04-18 23:01,2650 Haste St #213 (Rev. 09/04/18)
20-00803,Found Prop.: Found Property,2020-04-19 01:55,Ohlone Park
20-00804,626.6 (A): PC; Nonstudent Refuse to Leave Campus,2020-04-19 11:56,2415 Bowditch St; Crossroads
20-00805,Found Prop.: Found Property,2020-04-19 18:59,2500 Bancroft Wy
20-00806,594 (B)(2)(A): PC; Vandalism Less Than $400,2020-04-19 22:05,2301 Bancroft Wy; Rec Sprt Fac
20-00807,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-04-19 22:45,540 RED OAK #104 (Rev. 09/04/18)
20-00808,459: PC; Burglary: $950 Or Less,2020-04-19 13:45,Stern Hall #404
20-00809,PRODAM: Property Damage,2020-04-18 14:30,Max Martinez
20-00810,OABPD: Outside Assist - BPD,2020-04-20 20:45,1100 Eastshore High Way (Rev. 09/04/18)
20-00811,594: PC; Malicious Mischief/Vandalism,2020-04-21 01:27,Faculty Glade; Faculty Glade
20-00812,484 G(B): PC; Theft:misrepresent As Access Card Holder,2020-04-09 00:00,Hearst Field Annex; Hearst Field Annex
20-00813,415: PC; Disturb The Peace 243 (E)(1): PC; Battery On Spouse/Co-Habitant/Etc,2020-04-21 10:53,
20-00814,MISC: Miscellaneous Report,2020-04-21 13:05,Mlk #7; Mlk
20-00815,RULES: Rules Violation,2020-04-21 16:05,Peoples Park
20-00816,Lost Prop.: Lost Property,2020-04-18 06:15,Campus (Rev. 09/04/18)
20-00817,415: PC; Disturb The Peace,2020-04-22 18:17,Coffer Dam; Coffer Dam
20-00818,"OUT WRTM: Other Agency Warrant, Misd",2020-04-22 21:59,Lawrence Hall of Science; Lawrence Hall of Science
20-00819,11359 (B): HS; Possess Marijuana For Sale; 18 and Over,2020-04-22 22:58,Lawrence Hall of Science; Lawrence Hall of Science (Rev. 09/04/18)
20-00820,484 (A): PC; Petty Theft,2020-04-23 07:25,Ucpd; Ucpd
20-00821,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-04-23 10:39,Red Oak Avenue
20-00822,OA Assist: Outside Agency Assist,2020-04-23 11:47,747 52nd St; Childrens Hospital (Rev. 09/04/18)
20-00823,PRODAM: Property Damage,2020-04-24 07:52,Lbnl-90; Lbnl-90
20-00824,23152 (A): VC; Dui Alcohol 23152 (B): VC; Dui Alcohol/008 Percent,2020-04-24 23:11,MSRI Terrace Lot (Rev. 09/04/18)
20-00825,Caslty: Injury/Illness,2020-04-25 00:35,2536 Channing Wy; Anna Head
20-00826,594: PC; Malicious Mischief/Vandalism,2020-04-25 08:02,Gpb Garage; Gpb Garage
20-00827,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-04-25 00:43,1123 JACKSON ST
20-00828,594: PC; Malicious Mischief/Vandalism,2020-04-25 13:42,2601 Warring St; Ckc-23
20-00829,594 (B)(2)(A): PC; Vandalism Less Than $400,2020-04-25 19:00,Peoples Park; Peoples Park (Rev. 09/04/18)
20-00830,594: PC; Malicious Mischief/Vandalism,2020-04-26 01:05,420 Kula Gulf Wy; Uva-160
20-00832,594: PC; Malicious Mischief/Vandalism,2020-04-26 09:16,Lower Hearst Parking Structure; Lower Hearst Parking Structure
20-00833,5150: WI; 72 Hour Mental Health Hold,2020-04-26 14:07,Botanical Gardens; Botanical Gardens
20-00834,OA Assist: Outside Agency Assist,2020-04-26 23:38,2460 Bancroft Wy (Rev. 09/04/18)
20-00835,484 (A): PC; Theft,2020-04-24 13:51,305 West End Wy #103
20-00836,Lost Prop.: Lost Property,2020-03-09 12:00,Campus; Campus
20-00838,Caslty: Injury/Illness,2020-04-27 20:25,Dwinelle Pz; Dwinelle Pz
20-00839,OA Assist: Outside Agency Assist,2020-04-27 22:20,Peoples Park; Peoples Park (Rev. 09/04/18)
20-00840,602 (K): PC; Trespass:injure Property,2020-04-28 00:04,2001 Gayley Rd; Greek Theater
20-00841,"OUT WRTF: Other Agency Warrant, Fel",2020-04-28 08:12,2601 Warring St; Ckc
20-00842,1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime],2020-04-28 09:39,Cesar Chavez Center; Cesar Chavez Center
20-00843,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-04-24 12:22,2650 Durant Av; Unit-1 Cheney
20-00844,Civil: Civil Information Report,2020-04-28 18:46,Campus; Campus
20-00845,Caslty: Injury/Illness,2020-04-28 20:34,1005 Jackson St. #105 (Rev. 09/04/18)
20-00846,459V-F: PC; Burglary Vehicle,2020-04-29 10:00,Ellsworth Parking Structure; Ellsworth Parking Structure
20-00847,626.6: PC; Nonstudent Refuse to Leave Campus (Amended),2020-04-29 14:59,Evans Hall; Evans Hall
20-00848,10-42: Welfare Check,2020-04-29 17:34,2400 Bancroft Wy #672
20-00849,459: PC; Burglary: $950 Or Less,2020-04-28 20:58,2650 Durant Av; Unit-1 (Rev. 09/04/18)
20-00850,Found Prop.: Found Property,2020-04-30 07:44,Sproul Hall; Sproul Hall
20-00851,PRODAM: Property Damage,2020-04-30 08:38,Cyclotron Rd N Calvin Rd
20-00852,594 (B)(2)(A): PC; Vandalism Less Than $400,2020-04-30 09:16,Mccone Hall; Mccone Hall
20-00854,459V-F: PC; Burglary Vehicle,2020-04-21 05:36,Ellsworth Parking Structure; Ellsworth Parking Structure
20-00855,602: PC; Tresspassing,2020-04-30 23:05,Dwinelle Hall; Dwinelle Hall (Rev. 09/04/18)
20-01308,415 (3): PC; Offensive Words In Public Pl 626: Exclusion Order Issued,2020-08-01 11:10,Peoples Park; Peoples Park
20-01309,484 (A): PC; Petty Theft,2020-08-01 16:30,600 Red Oak Av; Uva-137 (Rev. 09/04/18)
20-01310,3056: PC; Violation Parole: Felony,2020-08-02 21:43,Peoples Park; Peoples Park
20-01311,PRODAM: Property Damage,2020-08-02 23:37,Wurster Hall; Wurster Hall (Rev. 09/04/18)
20-01312,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-08-03 05:33,Cesar Chavez Center; Cesar Chavez Center
20-01315,MP: Missing Person,2020-08-03 10:13,2222 Bancroft Wy; Tang Center
20-01318,Caslty: Injury/Illness,2020-08-03 22:39,580 Ohlone Av; Uva-154 (Rev. 09/04/18)
20-01319,594 (A): PC; Vandalism [under $1000],2020-08-04 18:18,2222 Bancroft Wy; Tang Center
20-01320,148.4 (A): PC; Tamper/Etc With Fire Alarm/Equipment (Amended) 487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-08-05 00:22,Lower Hearst Parking Structure; Lower Hearst Parking Structure
20-01321,MISC: Miscellaneous Report,2020-08-04 21:02,Stern Hall; Stern Hall
20-01322,594: PC; Malicious Mischief/Vandalism,2020-08-04 23:05,Wellman Brain Imaging Center; Wellman Brain Imaging Center (Rev. 09/04/18)
20-01323,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-08-05 00:29,2200 Bancroft Wy
20-01324,647 (E): PC; Disorderly Conduct:lodge Without Owners Consent 11377 (A): HS; Possess Controlled Substance,2020-08-05 09:41,755 Ohlone Av; Uva-105
20-01325,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-08-05 01:30,515 Kinkead Wy (Rev. 09/04/18)
20-01327,484 (A): PC; Petty Theft,2020-08-06 03:53,675 Kula Gulf Wy #100
20-01328,626: Exclusion Order Issued,2020-08-06 12:43,Upper Sproul Pz; Upper Sproul Pz
20-01329,594: PC; Malicious Mischief/Vandalism,2020-08-06 12:50,Sproul Hall; Sproul Hall
20-01330,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-08-05 03:40,600 Gooding Wy #620
20-01331,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-08-06 10:30,Lower Hearst Parking Structure; Lower Hearst Parking Structure
20-01332,PRODAM: Property Damage,2020-08-06 13:00,Boalt Lot; Boalt Lot
20-01333,602: PC; Tresspassing,2020-08-06 18:28,Mlk; Mlk
20-01334,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-08-05 18:19,Cesar Chavez Center; Cesar Chavez Center
20-01335,MMC: MC; Use This For Mmc Codes Until Spec Codes Added,2020-08-06 23:26,Strawberry Rec Center; Strawberry Rec Center (Rev. 09/04/18)
20-01336,484: PC; Theft,2020-08-06 23:22,2222 Bancroft Wy; Tang Center
20-01337,PRODAM: Property Damage,2020-08-07 13:54,Barker Hall; Barker Hall (Rev. 09/04/18)
20-01339,290 (A): PC; Duty to Register As Sex Offender,2020-08-08 12:17,Ucpd; UCPD
20-01340,PRODAM: Property Damage,2020-08-08 17:27,Simon Hall; Simon Hall
20-01341,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-08-05 13:30,786 Red Oak Ave
20-01342,594: PC; Malicious Mischief/Vandalism,2020-08-08 23:19,2536 Channing Wy; Anna Head
20-01343,INFO: Information Only Report,2020-08-08 23:46,Evans Hall; Evans Hall (Rev. 09/04/18)
20-01345,22651(o)(1): VC; Stored Vehicle-Registration Expired Over 6 Months,2020-08-09 09:28,2431 Bowditch St
20-01346,Lost Prop.: Lost Property,2020-08-09 14:30,Cory Hall; Cory Hall
20-01347,Lost Prop.: Lost Property,2020-08-08 10:15,Berkeley (Rev. 09/04/18)
20-01348,594 (A)(2): PC; Vandalism: Damage Property,2020-08-10 00:28,1301 S. 46th Street; RFS
20-01349,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-08-09 23:42,Uva Office; Uva OFFICE
20-01350,"STO-22651 (p): VC; Veh Storage Only, Driver Cited",2020-08-10 16:52,Bancroft Way W Telegraph Ave (Rev. 09/04/18)
20-01352,242: PC; Battery,2020-08-11 12:44,2404 Telegraph Av
20-01354,459: PC; Burglary: First Degree,2020-08-11 13:45,Birge Hall #269; Birge Hall
20-01355,Lost Prop.: Lost Property,2020-08-06 12:00,Lhs Terrace Lot; Lhs Terrace Lot
20-01356,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-07-12 19:55,2601 Warring St; Ckc Lot A
20-01357,374.4: PC; Litter Public/Private Property,2020-08-11 22:57,Upper Sproul Pz; Upper Sproul Pz (Rev. 09/04/18)
20-01359,647 (J)(1): PC; Disorderly Conduct:invade Privacy W/Camera/Etc In Bathrm/Etc SUPP: Supplemental Reports,2020-08-12 01:39,485 Ohlone Av #109
20-01360,Lost Prop.: Lost Property,2020-08-12 01:30,2220 Piedmont Av; Haas Business School
20-01361,594 (A): PC; Vandalism,2020-08-12 00:00,Mlk; Mlk
20-01362,242: PC; Battery,2020-08-12 19:24,485 Ohlone Av; Uva-169 (Rev. 09/04/18)
20-01363,5150: WI; 72 Hour Mental Health Hold 148.4: PC; False Fire Alarm SUPP: Supplemental Reports,2020-08-13 11:05,2060 Fairmont Dr
20-01364,459.5 (A): PC; Burglary: Retail Merchandise Less Than $950,2020-08-13 11:31,Asuc; Asuc
20-01365,TC-Non Injury: Traffic Collision Non Injury,2020-08-13 11:30,2536 Channing Wy; Anna Head (Rev. 09/04/18)
20-01366,166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime],2020-08-14 02:26,2650 Durant Av; Unit-1
20-01367,594 (A)(1): PC; Vandalism: Deface Property,2020-08-14 09:17,Sproul Hall; Sproul Hall
20-01368,484: PC; Theft Stalking,2020-08-14 10:40,Haas Pavilion; Haas Pavilion On Campus (Rev. 09/04/18)
20-01369,594: PC; Malicious Mischief/Vandalism,2020-08-14 22:00,2120 Oxford; Berkeley Art Museum
20-01370,"OUT WRTF: Other Agency Warrant, Fel",2020-08-15 15:49,1221 8TH ST
20-01371,Found Prop.: Found Property,2020-08-15 14:00,2220 Piedmont Av; Haas Business School (Rev. 09/04/18)
20-01372,626: Exclusion Order Issued,2020-08-16 09:13,Uva; Uva (Rev. 09/04/18)
20-01375,MISC: Miscellaneous Report,2020-08-17 12:05,Simon Hall; Simon Hall
20-01376,417 (A)(1): PC; Exhibit Deadly Weapon Other Than Firearm 626: Exclusion Order Issued Sexual Battery,2020-08-17 21:19,Haas Pavilion; Haas Pavilion 2222 Bancroft Way (Rev. 09/04/18)
20-01377,484: PC; Petty Theft,2020-08-18 13:53,980 Ohlone Av #993
20-01378,Caslty: Injury/Illness INFO: Information Only Report,2020-08-18 20:06,Koshland Hall; Koshland Hall
20-01379,PRODAM: Property Damage,2020-08-18 21:05,420 Kula Gulf Wy #200 (Rev. 09/04/18)
20-01380,459: PC; Burglary: Second Degree,2020-08-19 01:52,Uva; Uva
20-01381,22651(n): VC; Posted Tow Away Zone,2020-08-19 11:27,2601 Warring St; Ckc-17
20-01382,Lost Prop.: Lost Property,2020-08-19 14:47,2650 Haste St; Unit-2 Griffith
20-01383,594: PC; Malicious Mischief/Vandalism,2020-08-16 04:04,Hearst Gym; Hearst Gym
20-01384,5150: WI; 72 Hour Mental Health Hold,2020-08-19 15:25,Stiles Hall; Stiles Hall (Rev. 09/04/18)
20-01385,Found Prop.: Found Property,2020-08-20 00:45,1125 Jackson St
20-01386,594 (A): PC; Vandalism [under $1000],2020-08-06 14:37,2536 Channing Wy #BLDG D; Anna Head
20-01388,594 (A): PC; Vandalism [under $1000],2020-08-20 04:01,Haviland Hall; Haviland Hall (Rev. 09/04/18)
20-01389,484: PC; Theft,2020-08-09 13:37,670 Kula Gulf Wy #301
20-01390,Lost Prop.: Lost Property,2020-08-21 19:25,Ucpd; Ucpd
20-01391,594 (A): PC; Vandalism,2020-08-21 19:56,Valley Life Science Bldg; VLSB
20-01392,Caslty: Injury/Illness,2020-08-21 20:23,Ucpd; Ucpd
20-01393,"OUT WRTM: Other Agency Warrant, Misd",2020-08-21 23:37,Underhill Lot; Underhill Lot (Rev. 09/04/18)
20-01394,166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc 11377 (A): HS; Possess Controlled Substance,2020-08-22 04:09,Cesar Chavez Center; Cesar Chavez Center
20-01395,484 G(B): PC; Theft:misrepresent As Credit Card Holder [over $200] (Amended),2020-08-18 20:15,
20-01396,Found Prop.: Found Property,2020-08-22 21:33,Dwinelle Hall; Dwinelle Hall
20-01397,Caslty: Injury/Illness,2020-08-22 22:54,600 Gooding Wy #614 (Rev. 09/04/18)
20-01398,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-08-22 23:00,2650 Haste St; Unit-2
20-01399,484 (A): PC; Theft,2020-08-22 17:00,485 Ohlone Av #307
20-01400,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-08-18 17:45,2601 Warring St; Ckc (Rev. 09/04/18)
20-01401,5150: WI; 72 Hour Mental Health Hold,2020-08-24 00:07,Ucpd; Ucpd
20-01403,626: Exclusion Order Issued,2020-08-24 10:21,Lower Sproul Garage; Lower Sproul Garage
20-01404,5150: WI; 72 Hour Mental Health Hold 242/243 (B): PC; Battery On Peace Officer/Emergency Personnel/Etc,2020-08-24 11:32,670 Kula Gulf Wy #202
20-01406,594: PC; Malicious Mischief/Vandalism,2020-08-24 16:46,1301 S. 46th Street; RFS-400
20-01407,PRODAM: Property Damage,2020-08-24 18:21,2536 Channing Wy; Anna Head (Rev. 09/04/18)
20-01409,Caslty: Injury/Illness,2020-08-25 14:51,Uva; Uva
20-01410,Traffic Collision: Property Damage Only,2020-08-25 15:25,CKC 2601 Warring St
20-01412,Civil: Civil Information Report,2020-08-25 22:36,2503 Haste St (Rev. 09/04/18)
20-01413,594 (A): PC; Vandalism,2020-08-26 01:05,Wheeler Hall; Wheeler Hall
20-01414,594: PC; Malicious Mischief/Vandalism,2020-08-25 18:55,Doe Library; Doe Library
20-01415,DEMO: Demonstration,2020-08-26 07:18,Sather Gate; Sather Gate
20-01417,Lost Prop.: Lost Property,2020-08-24 01:00,Sdh #266; Sdh
20-01418,"OUT WRTF: Other Agency Warrant, Fel 459.5 (A): PC; Burglary: Retail Merchandise Less Than $950 626: Exclusion Order Issued",2020-08-26 16:21,Mlk; Mlk
20-01419,MISC: Miscellaneous Report,2020-08-26 16:42,Uva; Uva
20-01420,Caslty: Injury/Illness,2020-08-26 20:10,Bowles Hall; Bowles Hall
20-01421,"OUT WRTF: Other Agency Warrant, Fel SUPP: Supplemental Reports",2020-08-26 21:55,Underhill Lot; Underhill Lot
20-01422,Caslty: Injury/Illness,2020-08-26 23:51,2650 Haste St #209 (Rev. 09/04/18)
20-01424,22651(n): VC; Posted Tow Away Zone,2020-08-27 17:50,865 Kinkead Wy
20-01425,148.4: PC; False Fire Alarm,2020-08-27 20:13,Underhill Lot #Stairwell 3; Underhill Lot
20-01426,PRODAM: Property Damage,2020-08-27 20:46,Regatta Blvd NORTH 3200
20-01427,5150: WI; 72 Hour Mental Health Hold,2020-08-27 21:15,2650 Haste St; Unit-2 Towle
20-01428,Caslty: Injury/Illness,2020-08-27 22:15,Foothill Lot; Foothill Lot
20-01429,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-08-27 11:45,Hildebrand Hall; Hildebrand Hall
20-01430,594 (B)(1): PC; Vandalism ($400 Or More) 626: Exclusion Order Issued,2020-08-27 22:29,2220 Piedmont Av; Haas Business School (Rev. 09/04/18)
20-01431,594: PC; Malicious Mischief/Vandalism,2020-08-28 00:30,Latimer Hall; Latimer Hall
20-01432,INFO: Information Only Report,2020-08-28 15:15,116 Ohlone Av #813
20-01433,530.5: PC; Unauth Use of Personal Identification:obtain Credit (Blocked),2020-08-28 15:38,Oxford St & Allston Wy
20-01434,484: PC; Theft,2020-08-28 18:14,Lower Hearst Parking Structure; Lower Hearst Parking Structure
20-01435,246.3 (A): PC; Willful Discharge of Firearm In A Grossly Negligent Manner,2020-08-28 23:02,Signpost-16; Signpost-16 (Rev. 09/04/18)
20-01436,Civil: Civil Information Report,2020-08-29 17:33,755 Ohlone Av #766 (Rev. 09/04/18)
20-01437,459V-F: PC; Burglary Vehicle,2020-08-30 04:15,800 RED OAK AVE
20-01439,"647(F): PC; Disorderly Conduct; Under Influence 148 (A)(1): PC; Resist/Obstruct Police Officer, Etc 626: Exclusion Order Issued",2020-08-30 14:20,2450 Ashby Ave (Rev. 09/04/18)
20-01440,12700 (B)(1): HS; Possess Gross Wght of Less Than 25 Pounds Dangerous Firework,2020-08-31 00:56,Hargrove Music Library; Hargrove Music Library
20-01441,OABPD: Outside Assist - BPD,2020-08-31 08:12,Bancroft Wy & Dana St
20-01442,Caslty: Injury/Illness,2020-08-31 10:33,Northgate Hall; Northgate Hall
20-01443,Lost Prop.: Lost Property,2020-08-31 15:28,2220 Piedmont Av; Haas Business School
20-01444,PRODAM: Property Damage,2020-08-31 17:20,Lbnl; Lbnl (Rev. 09/04/18)
20-00229,647(F): PC; Disorderly Conduct; Under Influence,2020-02-01 02:34,2424 Channing Wy
20-00230,664/487: PC; Attempt Grand Theft OA Assist: Outside Agency Assist,2020-02-01 16:18,North Of UVA Property (Rev. 09/04/18)
20-00231,602: PC; Tresspassing,2020-02-02 01:32,Memorial Stadium
20-00232,Caslty: Injury/Illness,2020-02-02 07:53,1 Cyclotron Rd
20-00233,261: PC; Rape:not Specified,2020-02-02 11:53,Peoples Park (Rev. 09/04/18)
20-00234,PRODAM: Property Damage,2020-01-31 08:45,Lawrence Hall Of Science Vista Parking Lot
20-00235,459: PC; Burglary: First Degree,2020-02-02 08:15,1301 S. 46th Street
20-00236,484: PC; Theft,2020-02-01 16:45,Unknown
20-00237,488: PC; Petty Theft,2020-02-03 12:40,Hargrove Music Library
20-00238,OA Assist: Outside Agency Assist,2020-02-03 14:45,Magnes Bldg
20-00239,5150: WI; 72 Hour Mental Health Hold,2020-02-03 14:54,Tang Center
20-00240,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-02-03 13:30,Southwest Corner Bicycle Racks
20-00241,488: PC; Petty Theft,2020-02-03 16:17,Wheeler Hall
20-00242,Caslty: Injury/Illness,2020-02-03 20:24,Peoples Park; Peoples Park
20-00244,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-01-25 12:30,Sibley Auditorium Audio/Video Room (Rev. 09/04/18)
20-00243,PRODAM: Property Damage,2020-02-04 01:17,Wickson Gate
20-00246,459V-F: PC; Burglary Vehicle,2020-02-04 11:22,GPB Garage Parking Space #194
20-00247,647 (J): PC; Invade Privacy:peek Through Hole In Bathroom (Amended),2020-02-04 14:35,Mlk
20-00248,"OUT WRTM: Other Agency Warrant, Misd",2020-02-04 15:57,Mlk
20-00249,5150: WI; 72 Hour Mental Health Hold,2020-02-04 16:30,2222 Bancroft Wy; Tang Center
20-00250,459V-F: PC; Burglary Vehicle,2020-02-04 20:21,Underhill Lot
20-00251,PRODAM: Property Damage,2020-02-04 20:50,Underhill Lot; Underhill Lot
20-00252,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-02-02 20:00,2400 Durant Av #802; Unit-3 Ida Sproul
20-00253,459V-F: PC; Burglary Vehicle,2020-02-04 21:16,Underhill Lot; Underhill Lot
20-00254,Caslty: Injury/Illness,2020-02-04 20:55,2301 Bancroft Wy
20-00255,664/459V: PC; Attempt: Vehicle Burglary,2020-02-04 15:32,Underhill Lot #113; Underhill Lot
20-00256,22651 (K): VC; Abandon Vehicle 459V-F: PC; Burglary Vehicle,2020-02-04 23:23,Underhill Lot; Underhill Lot
20-00257,Caslty: Injury/Illness,2020-02-04 23:20,2650 Haste St #411 (Rev. 09/04/18)
20-00259,PRODAM: Property Damage,2020-02-05 00:45,2601 Warring St; Ckc-12
20-00260,530.5 (E): PC; Mail Theft,2020-01-24 19:49,755 Ohlone Av #781
20-00261,MISC: Miscellaneous Report,2020-02-05 09:04,2427 Dwight Wy; Dwight Child Care
