Case #,Crime,Occurred (Averaged),Location,lon,lat
23-00889,487(A): PC; Grand Theft:money/Labor/Property; Felony SUPP: Supplemental Reports,2023-04-06 00:45,755 Ohlone Av,-122.272863,37.8708393
23-00890,INFO: Information Only Report,2023-04-06 07:59,335 Ohlone Av,-122.272863,37.8708393
23-00891,INFO: Information Only Report,2022-12-23 10:00,Sproul Hall,-122.25877388866844,37.8696038
23-00892,148(A)(1): PC; Obstruct/Resist/Etc Public/Peace Officer/Emergency Med Tech; Misde 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor 11377(A): HS; Possess Controlled Substance; Misdemeanor SUPP: Supplemental Reports 594(A)(1): PC; Vandalism:deface Property; Misdemeanor,2023-04-06 12:48,2301 Bancroft Wy,-122.260816,37.868605
23-00893,314(1): PC; Indecent Exposure; Misdemeanor,2023-04-06 16:21,Haviland Hall,-122.2611045603687,37.8737907
23-00894,487(A): PC; Grand Theft:money/Labor/Property; Felony,2023-04-05 15:00,335 Ohlone Av,-122.272863,37.8708393
23-00895,5150: WI; 72 Hour Mental Health Hold;,2023-04-06 18:21,Observatory Hill Observatory Hill,-122.2605669,37.8742233
23-00896,Caslty: Injury/Illness,2023-04-06 19:17,2222 Bancroft Wy,-122.26741212033184,37.86774458786539
23-00897,Caslty: Injury/Illness,2023-04-06 18:50,2424 Channing Wy,-122.25951811764706,37.86675558823529
23-00898,PRODAM: Property Damage,2023-04-06 20:20,Sproul Hall,-122.25877388866844,37.8696038
23-00899,Caslty: Injury/Illness,2023-04-06 22:06,Latimer Hall,-122.255914566482,37.87310845
23-00900,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-06 18:30,Evans Hall,-122.25768131042068,37.8736211
23-00901,532(A): PC; Obtain Money/Etc By False Pretenses; Misdemeanor,2023-03-01 12:00,Haas Pavilion Haas Pavilion,-122.26220609544905,37.86939045
23-00902,Caslty: Injury/Illness,2023-04-06 23:40,Morrison Hall,-122.25646922657933,37.870844250000005
23-00903,Caslty: Injury/Illness,2023-04-07 00:52,2650 Durant Av,-122.2552301968402,37.86782
23-00904,INFO: Information Only Report,2023-04-07 01:08,420 Kula Gulf Wy,-122.3039132,37.8844525
23-00905,OA-BPD: Outside Assist - BPD 242: PC; Battery On Person; Misdemeanor,2023-04-07 04:22,2400 Channing Wy,-122.261103,37.866634
23-00906,FIRE: Fire,2023-04-07 07:07,Peoples Park Housing Construction Site,-122.272863,37.8708393
23-00907,Caslty: Injury/Illness,2023-04-07 13:06,1000 Sixth St,-122.3027008,37.882828
23-00908,148.4(A)(1): PC; Tamper/Etc With Fire Alarm/Etc; Misdemeanor,2023-04-07 14:48,Cesar Chavez Center Cesar Chavez Center,-122.260364,37.86962
23-00910,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-07 19:57,Pimentel Hall,-122.2560332482143,37.873411
23-00911,Caslty: Injury/Illness SUPP: Supplemental Reports,2023-04-07 22:10,2650 Durant Av,-122.2552301968402,37.86782
23-00912,INFO: Information Only Report,2023-04-08 01:14,2520 Channing Wy,-122.25740262790698,37.86703251162791
23-00913,22651(n): VC; Posted Tow Away Zone; Infraction,2023-04-08 12:33,670 Kula Gulf Wy,-122.303732,37.8838124
23-00914,532(A): PC; Obtain Money/Etc By False Pretenses [over $400]; Felony,2023-04-08 00:00,2650 Durant Av,-122.2552301968402,37.86782
23-00915,487(A): PC; Grand Theft:money/Labor/Property; Felony,2023-04-08 17:01,2200 Bancroft Wy,-122.26563645726156,37.8673933
23-00916,487(A): PC; Grand Theft:money/Labor/Property; Felony,2023-04-08 13:46,2701 Hearst Av,-122.256722,37.875615
23-00917,OA-BPD: Outside Assist - BPD *Robbery,2023-04-09 01:21,Hearst Av,-122.29109499749464,37.87060032614356
23-00918,5150: WI; 72 Hour Mental Health Hold; Caslty: Injury/Illness,2023-04-09 01:15,1000 Sixth St,-122.3027008,37.882828
23-00919,459: PC; Burglary:first Degree; Felony,2023-04-09 01:00,GPB Garage GPB Garage,-122.272863,37.8708393
23-00920,OA-BATTERY: Outside Assist - Battery,2023-04-09 07:23,Virginia St,-122.2935523,37.87344915
23-00921,243.4(E)(1): PC; Touch Person Intimately Against Will For Sexual Arousal/Etc; Misde,2023-04-09 09:41,Stephens Hall,-122.25769072017832,37.87133
23-00922,594(B)(2)(A): PC; Vandalism Less Than $400; Misdemeanor,2023-04-09 01:30,Valley Life Science Building Valley Life Science Building,-122.272863,37.8708393
23-00923,OA-BPD: Outside Assist - BPD *Aggravated Assault,2023-04-09 11:16,Bancroft Wy,-122.28565157020569,37.86528873030079
23-00925,Caslty: Injury/Illness,2023-04-09 18:59,South Hall,-122.2585374222892,37.87133485
23-00926,22651(n): VC; Posted Tow Away Zone; Infraction,2023-04-09 20:36,585 Red Oak Av,-122.272863,37.8708393
23-00927,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-09 19:59,Lower Sproul Plaza Lower Sproul Plaza,-122.2606309,37.8688322
23-00928,OA-SEXUAL ASSAULT: Outside Assist - Sexual Assault,2023-04-09 04:00,Off campus,-122.272863,37.8708393
23-00929,WELFARE: Welfare Check,2023-04-09 23:02,2650 Haste St,-122.2560025249778,37.86647419644383
23-00930,"OA-BPD: Outside Assist - BPD *647(i): PC; loitering, prowling",2023-04-10 01:46,2640 Dwight Wy,-122.2559279029766,37.86554990544317
23-00931,RULES: Rules Violation,2023-04-10 08:47,Haviland Hall,-122.2611045603687,37.8737907
23-00932,OA-BPD: Outside Assist - BPD *Battery,2023-04-10 10:22,2415 Bowditch St,-122.25621929426624,37.866137951654
23-00933,10852: VC; Tamper With Vehicle; Misdemeanor *Motor Vehicle Theft (attempt),2023-04-08 17:00,Kinkead Wy,-122.272863,37.8708393
23-00934,594(A)(1): PC; Vandalism:deface Property; Felony,2023-04-08 01:35,Bauer Wurster Hall,-122.25490130888858,37.87058195
23-00935,Caslty: Injury/Illness,2023-04-10 12:45,Grinnell Path,-122.262416189755,37.87062647938336
23-00936,OA-BPD: Outside Assist - BPD 243.4(E)(1): PC; Touch Person Intimately Against Will For Sexual Arousal/Etc; Misde,2023-04-04 15:00,Shattuck Av,-122.26630775167496,37.85369625053443
23-00937,PRODAM: Property Damage,2023-04-05 18:44,LBNL LOT,-122.272863,37.8708393
23-00938,10852: VC; Tamper With Vehicle; Misdemeanor *Theft,2023-03-11 00:00,1005 Sixth St,-122.3022287,37.8829034
23-00939,OA-BPD: Outside Assist - BPD 243.4(E)(1): PC; Touch Person Intimately Against Will For Sexual Arousal/Etc; Misde,2023-04-09 11:15,Piedmont Av,-122.2525579199242,37.87070609791057
23-00940,Caslty: Injury/Illness,2023-04-10 15:06,2001 Gayley Rd,-122.25611709380318,37.87475781058154
23-00941,243.4(E)(1): PC; Touch Person Intimately Against Will For Sexual Arousal/Etc; Misde *Fondling,2023-04-08 17:45,Minor Hall,-122.25473783871234,37.8715126
23-00942,OA-BPD: Outside Assist - BPD *Fondling,2023-04-02 14:40,2200 block Piedmont Av,-122.272863,37.8708393
23-00943,372: PC; Public Nuisance; Misdemeanor,2023-04-10 16:15,2495 Bancroft Wy,-122.2598545,37.869332
23-00944,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor,2023-04-09 20:33,2301 Bancroft Wy,-122.260816,37.868605
23-00945,484(A): PC; Theft Of Personal Property; Misdemeanor,2023-04-07 00:02,Doe Library Doe Library,-122.259498421875,37.87219215
23-00946,Caslty: Injury/Illness,2023-04-10 20:10,2424 Haste St,-122.25966220370196,37.86568885
23-00947,487(A): PC; Grand Theft:money/Labor/Property; Felony,2023-04-10 16:10,Lower Sproul Plaza Lower Sproul Plaza,-122.2606309,37.8688322
23-00948,243.4(A): PC; Sexual Batt By Restraint; Misdemeanor *Fondling,2023-04-08 17:35,Memorial Stadium Memorial Stadium,-122.25073605072416,37.8709949
23-00949,INFO: Information Only Report,2023-04-10 16:55,Campus Unspecified Campus Location Campus Unspecified Rev 090418,-122.288608,37.868541
23-00950,242: PC; Battery On Person; Misdemeanor *Aggravated Assault,2023-04-11 00:21,2700 Hearst Av,-122.25551,37.875524
23-00951,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor,2023-04-11 01:10,Dwinelle Annex Dwinelle Annex,-122.26131106648783,37.87034835
23-00952,Caslty: Injury/Illness,2023-04-11 06:27,1 Cyclotron Rd,-122.25346345559628,37.874931643733575
23-00953,626: Exclusion Order Issued *Burglary (attempt),2023-04-11 11:24,1005 Sixth St,-122.3022287,37.8829034
23-00954,487(A): PC; Grand Theft:money/Labor/Property; Felony,2023-04-04 10:15,2495 Bancroft Wy,-122.2598545,37.869332
23-00955,484(A): PC; Theft Of Personal Property; Misdemeanor,2023-04-09 20:52,Doe Library Doe Library,-122.259498421875,37.87219215
23-00956,236: PC; False Imprisonment W/Violence/Etc; Felony 243.4(A): PC; Sexual Batt By Restraint; Felony 207(A): PC; Kidnapping; Felony,2023-04-08 01:25,Hearst Av,-122.29109499749464,37.87060032614356
23-00957,Caslty: Injury/Illness,2023-04-11 19:02,Sather Tower Campanille,-122.2578158,37.8720577
23-00958,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-11 20:16,2400 Durant Av,-122.260114,37.86724
23-00959,Caslty: Injury/Illness,2023-04-11 21:48,Valley Life Science Building Valley Life Science Building Rev 090418,-122.272863,37.8708393
23-00960,INFO: Information Only Report,2023-04-12 00:29,2401 Durant Av,-122.26110790700152,37.8680285
23-00961,242: PC; Battery On Person; Misdemeanor,2023-04-12 00:20,Spieker Plaza Spieker Plaza,-122.26162743874892,37.869232972407
23-00962,Caslty: Injury/Illness,2023-04-12 01:55,2333 College Av,-122.25423115947426,37.86809365
23-00964,594(A)(1): PC; Vandalism:deface Property; Misdemeanor 602(M): PC; Trespass:occupy Property Without Consent; Misdemeanor,2023-04-12 08:32,2536 Channing Wy,-122.25736188372092,37.86703753488372
23-00965,DEMO: Demonstration,2023-04-12 12:23,California Hall,-122.26040950733994,37.87199425
23-00967,Caslty: Injury/Illness,2023-04-12 13:55,LBNL59 LBNL59,-122.272863,37.8708393
23-00968,532(A): PC; Obtain Money/Etc By False Pretenses [over $400]; Felony,2023-04-10 04:40,2700 Hearst Av,-122.25551,37.875524
23-00969,Lost Prop.: Lost Property,2023-04-07 23:00,2220 Piedmont Av,-122.25286288751197,37.87097791199431
23-00970,FIRE: Fire,2023-04-12 18:38,1075 Monroe St,-122.272863,37.8708393
23-00971,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-12 14:37,Dwinelle Hall,-122.2607432628604,37.8707285
23-00972,484(A): PC; Petty Theft; Misdemeanor,2023-04-08 19:45,Dwinelle Hall,-122.2607432628604,37.8707285
23-00973,417.25(A): PC; Threaten With Laser Scope With Intent To Cause Fear; Misdemeanor,2023-04-12 22:35,2401 Durant Av,-122.26110790700152,37.8680285
23-00974,Found Prop.: Found Property 484(A): PC; Petty Theft 148.9(A): PC; Give False Id To Po,2023-04-12 15:30,2465 Bancroft Wy,-122.2606942,37.8687031
23-00976,532(A): PC; Obtain Money/Etc By False Pretenses [over $400]; Felony,2023-04-12 21:19,1928 Stadium Rim Wy,-122.25321114642718,37.87299524079425
23-00977,245(A)(1): PC; Assault W/Deadly Weapon:not F/Arm; Felony SUPP: Supplemental Reports 11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor 1203.2(A): PC; Probation Violation:rearrest/Revoke; Felony 11377(A): HS; Possess Controlled Substance; Felony,2023-04-13 12:11,Cesar Chavez Center Cesar Chavez Center,-122.260364,37.86962
23-00978,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-12 20:11,2301 Bancroft Wy,-122.260816,37.868605
23-00979,INFO: Information Only Report,2023-04-13 14:34,Upper Sproul Plaza Upper Sproul Plaza,-122.25940006990032,37.8695157
23-00980,INFO: Information Only Report,2023-04-13 15:14,2650 Durant Av,-122.2552301968402,37.86782
23-00981,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-13 12:11,Evans Hall,-122.25768131042068,37.8736211
23-00982,Civil: Civil Information Report,2023-04-13 17:25,University Village UVA,-122.272863,37.8708393
23-00983,INFO: Information Only Report,2023-04-13 18:07,2299 Piedmont Av,-122.2519432,37.8697156
23-00984,OA-BPD: Outside Assist - BPD OA-AUTO THEFT: Outside Assist - Auto Theft,2023-04-13 19:50,Kula Gulf Wy,-122.30363947534826,37.884126614782105
23-00985,Caslty: Injury/Illness,2023-04-13 20:37,Witter Field Witter Field Rev 090418,-122.249073,37.871156
23-00986,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-13 21:01,Dwinelle Hall,-122.2607432628604,37.8707285
23-00993,INFO: Information Only Report,2023-04-13 16:08,945 Ohlone Av,-122.272863,37.8708393
23-00987,Lost Prop.: Lost Property,2023-04-14 00:00,Barker Hall,-122.26548032875245,37.8739629
23-00989,11364(A): HS; Possess Unlawful Paraphernalia; Misdemeanor,2023-04-14 08:27,2536 Channing Wy,-122.25736188372092,37.86703753488372
23-00990,RULES: Rules Violation,2023-04-14 10:22,Blackberry Canyon Gate Blackberry Canyon Gate,-122.25304663453348,37.8753071
23-00991,OA-BPD: Outside Assist - BPD,2023-04-14 10:55,2500 Dwight Wy,-122.2584437,37.8651278
23-00992,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-03-19 18:00,Evans Hall,-122.25768131042068,37.8736211
23-00995,INFO: Information Only Report,2023-04-14 16:13,Hearst Memorial Gymnasium Hearst Gym,-122.257164,37.874153
23-00996,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-14 16:22,2121 Berkeley Wy,-122.2683576,37.8737831
23-00997,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-14 17:00,Li Ka Shing Center Li Ka Shing Center,-122.265396,37.87281
23-00998,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-14 12:30,Red Oak Av,-122.272863,37.8708393
23-00999,SUPP: Supplemental Reports 314(1): PC; Indecent Exposure; Misdemeanor 626: Exclusion Order Issued,2023-04-14 21:23,Valley Life Science Building Valley Life Science Building,-122.272863,37.8708393
23-01000,Caslty: Injury/Illness,2023-04-14 23:17,Bancroft Wy,-122.28565157020569,37.86528873030079
23-01001,Caslty: Injury/Illness,2023-04-15 01:07,2400 Durant Av,-122.260114,37.86724
23-01002,Caslty: Injury/Illness,2023-04-15 01:54,2401 Durant Av,-122.26110790700152,37.8680285
23-01003,Caslty: Injury/Illness,2023-04-15 03:06,2195 Hearst Av,-122.26773338492627,37.87410311165394
23-01004,484(A): PC; Theft Of Personal Property; Misdemeanor,2023-04-13 22:22,2301 Bancroft Wy,-122.260816,37.868605
23-01005,484(A): PC; Petty Theft; Misdemeanor,2023-04-15 01:45,485 Ohlone Av,-122.272863,37.8708393
23-01006,532(A): PC; Obtain Money/Etc By False Pretenses [over $400]; Felony,2023-04-14 12:23,2650 Durant Av,-122.2552301968402,37.86782
23-01007,PRODAM: Property Damage,2023-04-15 14:43,Valley Life Science Building Valley Life Science Building,-122.272863,37.8708393
23-01008,Found Prop.: Found Property,2023-04-15 16:06,Sproul Hall,-122.25877388866844,37.8696038
23-01009,PRODAM: Property Damage,2023-04-15 13:32,Lower Sproul Garage Lower Sproul Garage Rev 090418,-122.260471,37.869253
23-01010,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-15 20:08,2645 Haste St,-122.2544244,37.8673072
23-01011,Caslty: Injury/Illness,2023-04-16 09:04,2400 Durant Av,-122.260114,37.86724
23-01012,484(A): PC; Theft Of Personal Property; Misdemeanor,2023-04-15 03:00,670 Kula Gulf Wy,-122.303732,37.8838124
23-01013,Found Prop.: Found Property,2023-04-16 10:24,Sproul Hall,-122.25877388866844,37.8696038
23-01014,653M(A): PC; Annoying Telephone Call:obscene/Threatening; Misdemeanor SUPP: Supplemental Reports,2023-04-05 22:14,2650 Durant Av,-122.2552301968402,37.86782
23-01015,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-15 20:00,2700 Hearst Av,-122.25551,37.875524
23-01016,MISC: Miscellaneous Report,2023-04-06 20:10,SFO,-122.272863,37.8708393
23-01017,5150: WI; 72 Hour Mental Health Hold;,2023-04-16 16:25,2400 Durant Av,-122.260114,37.86724
23-01018,243(E)(1): PC; Battery:spouse/Ex Spouse/Date/Etc; Misdemeanor,2023-04-16 17:38,Sproul Hall,-122.25877388866844,37.8696038
23-01019,INFO: Information Only Report,2023-04-16 10:29,335 Ohlone Av,-122.272863,37.8708393
23-01020,484(A): PC; Theft Of Personal Property; Misdemeanor,2023-04-15 21:45,2650 Haste St,-122.2560025249778,37.86647419644383
23-01021,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-16 04:00,2700 Hearst Av,-122.25551,37.875524
23-01022,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor,2023-04-16 17:30,Moffitt Library Moffitt Library Rev 090418,-122.260681,37.872367
23-01023,Caslty: Injury/Illness,2023-04-17 01:51,2401 Durant Av,-122.26110790700152,37.8680285
23-01024,487(A): PC; Grand Theft:money/Labor/Property; Felony,2023-04-15 23:15,1301 S 46th St,-122.272863,37.8708393
23-01025,484(A): PC; Theft Of Personal Property; Misdemeanor,2023-04-17 08:10,Upper Sproul Plaza Upper Sproul Plaza,-122.25940006990032,37.8695157
23-01026,459: PC; Burglary:first Degree; Felony,2023-04-15 19:11,Alumni House 5 Alumni House,-122.261366,37.869643
23-01027,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-13 18:00,Evans Hall,-122.25768131042068,37.8736211
23-01028,487(A): PC; Grand Theft:money/Labor/Property; Felony,2023-02-07 08:30,2400 Durant Av,-122.260114,37.86724
23-01029,Found Prop.: Found Property,2023-04-17 15:02,Evans Hall,-122.25768131042068,37.8736211
23-01030,WELFARE: Welfare Check,2023-04-17 20:13,2600 Ridge Rd,-122.25762580138408,37.8760552
23-01031,Caslty: Injury/Illness,2023-04-17 22:33,2001 Gayley Rd,-122.25611709380318,37.87475781058154
23-01033,381(B): PC; Possess/Etc Substance Similar To Toluene; Misdemeanor,2023-04-17 19:33,2001 Gayley Rd,-122.25611709380318,37.87475781058154
23-01034,10851(A): VC; Take Vehicle Without Owner's Consent; Misdemeanor,2023-04-17 23:10,Moffitt Library Moffitt Library,-122.2598416,37.873349
23-01035,459: PC; Burglary: Second Degree; Felony,2023-04-17 20:30,West Crescent West Crescent Rev 090418,-122.272863,37.8708393
23-01036,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-17 19:45,Cesar Chavez Center Cesar Chavez Center Rev 090418,-122.260364,37.86962
23-01037,20002: VC; Hit and Run; Misdemeanor,2023-04-18 00:30,2650 Durant Av,-122.2552301968402,37.86782
23-01038,INFO: Information Only Report,2023-04-17 19:15,4400 Shellmound St,-122.29537345,37.84896395
23-01039,459: PC; Burglary; Misdemeanor 484G: PC; Theft By Use Of Access Card Information; Misdemeanor,2023-04-18 02:45,University Village UVA,-122.272863,37.8708393
23-01040,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-17 23:30,Moffitt Library Moffitt Library,-122.2598416,37.873349
23-01041,FIRE: Fire,2023-04-18 11:29,2400 Durant Av,-122.260114,37.86724
23-01042,484(A): PC; Theft Of Personal Property; Misdemeanor,2023-04-18 02:17,Golden Bear Rec Center Golden Bear Pool,-122.24714916177292,37.8643756
23-01043,Lost Prop.: Lost Property,2020-12-08 06:30,UNKNOWN Unknown Location,-122.272863,37.8708393
23-01044,459: PC; Burglary; Misdemeanor,2023-04-18 12:48,Foothill Lot,-122.25298596214569,37.8741938
23-01045,12500 (A): VC; Drive Without Licence; Misdemeanor,2023-04-18 15:44,Chu Rd,-122.25352293710246,37.87684936801727
23-01046,532(A): PC; Obtain Money/Etc By False Pretenses [over $400]; Felony,2023-04-18 12:22,UNKNOWN Unknown Location,-122.272863,37.8708393
23-01047,594(A)(1): PC; Vandalism:deface Property; Felony,2023-04-18 11:37,GPB Garage GPB Garage,-122.272863,37.8708393
23-01048,5150: WI; 72 Hour Mental Health Hold;,2023-04-18 20:05,Stu Gordon Stadium Stu Gordon Stadium Rev 090418,-122.272863,37.8708393
23-01049,381(A): PC; Possess/Etc Toluene/Etc; Misdemeanor,2023-04-18 19:43,2001 Gayley Rd,-122.25611709380318,37.87475781058154
23-01050,Caslty: Injury/Illness,2023-04-19 01:36,2401 Durant Av,-122.26110790700152,37.8680285
23-01051,OA-BPD: Outside Assist - BPD *Aggravated Assault,2023-04-17 11:50,Dwight Wy,-122.28431535220662,37.86178476620944
23-01052,Lost Prop.: Lost Property,2022-04-10 05:06,McCone Hall,-122.25970862318384,37.87412275
23-01054,WELFARE: Welfare Check,2023-04-19 16:25,2650 Durant Av,-122.2552301968402,37.86782
23-01055,INFO: Information Only Report,2023-04-19 15:51,2121 Berkeley Wy,-122.2683576,37.8737831
23-01056,Caslty: Injury/Illness,2023-04-19 17:15,Upper Sproul Plaza Upper Sproul Plaza,-122.25940006990032,37.8695157
23-01057,487(A): PC; Grand Theft:money/Labor/Property; Felony,2023-04-19 15:22,Cesar Chavez Center Cesar Chavez Center,-122.260364,37.86962
23-01058,Caslty: Injury/Illness,2023-04-19 19:36,2401 Durant Av,-122.26110790700152,37.8680285
23-01059,381(A): PC; Possess/Etc Toluene/Etc; Misdemeanor,2023-04-19 20:03,2001 Gayley Rd,-122.25611709380318,37.87475781058154
23-01060,626: Exclusion Order Issued,2023-04-20 10:12,Golden Bear Cafe Golden Bear Cafe,-122.259703,37.869831
23-01061,Caslty: Injury/Illness,2023-04-20 12:18,200 Centennial Dr,-122.2388985,37.8756959
23-01062,INFO: Information Only Report *Fondling *Domestic Violence,2022-12-25 18:39,800 block Kinkead Wy,-122.272863,37.8708393
23-01063,Caslty: Injury/Illness,2023-04-20 14:02,Sather Gate Sather Gate,-122.259509,37.8702403
23-01064,Caslty: Injury/Illness,2023-04-20 14:38,Dwinelle Hall,-122.2607432628604,37.8707285
23-01065,10851(A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft; Felony,2023-04-20 06:35,2220 Piedmont Av,-122.25286288751197,37.87097791199431
23-01066,Found Prop.: Found Property,2023-04-20 19:20,Memorial Glade Memorial Glade,-122.259436,37.873221
23-01067,Found Prop.: Found Property,2023-04-20 18:59,Dwinelle Hall,-122.2607432628604,37.8707285
23-01068,5150: WI; 72 Hour Mental Health Hold;,2023-04-20 20:52,Mulford Hall,-122.26429165961542,37.87268705
23-01070,476: PC; Make/Pass/Etc Ficticious Check With Intent To Defraud; Felony,2023-03-09 00:00,1608 Fourth St,-122.30222713682431,37.8731658
23-01069,Caslty: Injury/Illness,2023-04-21 03:13,2650 Durant Av,-122.2552301968402,37.86782
